row_label_raw,row_label_full,Năm 2018,Công nghiệpdệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpdệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,16.481.824.749.470,1.334.063.647.441,1.285.577.735.257,-,19.101.466.132.168,16481824749470.0,1334063647441.0,1285577735257.0,,19101466132168.0
Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,2.941.982.943.364,197.568.943.818,17.556.443.621,(3.157.108.330.803),-,2941982943364.0,197568943818.0,17556443621.0,-3157108330803.0,
Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,19.423.807.692.834,1.531.632.591.259,1.303.134.178.878,(3.157.108.330.803),19.101.466.132.168,19423807692834.0,1531632591259.0,1303134178878.0,-3157108330803.0,19101466132168.0
Phần lãi hoặc lỗ trong công ty liên kết,Phần lãi hoặc lỗ trong công ty liên kết,Phần lãi hoặc lỗ trong công ty liên kết,632.916.058.753,22.640.834.957,17.094.934.120,-,672.651.827.830,632916058753.0,22640834957.0,17094934120.0,,672651827830.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,772.760.351.488,(3.884.749.892),90.177.590.380,(135.411.597.652),723.641.594.324,772760351488.0,-3884749892.0,90177590380.0,-135411597652.0,723641594324.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,161.241.137.852,267.508.751,1.662.599.859,(15.092.435.635),148.078.810.827,161241137852.0,267508751.0,1662599859.0,-15092435635.0,148078810827.0
Chi phí khác,Chi phí khác,Chi phí khác,(113.881.074.845),(157.396.995),(3.523.945.055),7.242.699.590,(110.319.717.305),-113881074845.0,-157396995.0,-3523945055.0,7242699590.0,-110319717305.0
Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,(46.349.824.273),(759.952.619),(17.356.478.584),-,(64.466.255.476),-46349824273.0,-759952619.0,-17356478584.0,,-64466255476.0
(Chi phí)/lợi ích thuế thu nhập hoãn lại,(Chi phí)/lợi ích thuế thu nhập hoãn lại,(Chi phí)/lợi ích thuế thu nhập hoãn lại,(208.296.954),-,-,5.889.916.362,5.681.619.408,-208296954.0,,,5889916362.0,5681619408.0
Lợi nhuận/(lỗ) thuần sau thuế TNDN,Lợi nhuận/(lỗ) thuần sau thuế TNDN,Lợi nhuận/(lỗ) thuần sau thuế TNDN,773.562.293.268,(4.534.590.755),70.959.766.600,(137.371.417.335),702.616.051.778,773562293268.0,-4534590755.0,70959766600.0,-137371417335.0,702616051778.0
