row_label_raw,row_label_full,col_0,31/12/2019VND,1/1/2019VND,col_3,col_4,col_5,col_6,col_7,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính),numeric__31/12/2019VND,numeric__1/1/2019VND,numeric__col_3,numeric__col_4,numeric__col_5,numeric__col_6,numeric__col_7,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính)
Trả trước phí bảo hiểm,Trả trước phí bảo hiểm,Trả trước phí bảo hiểm,14.514.864.161,4.297.869.772,,,,,,,14514864161.0,4297869772.0,,,,,,
Chi phí trả trước về thuê hoạt động,Chi phí trả trước về thuê hoạt động,Chi phí trả trước về thuê hoạt động,8.957.276.927,4.124.839.490,,,,,,,8957276927.0,4124839490.0,,,,,,
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,11.198.995.818,9.636.495.306,,,,,,,11198995818.0,9636495306.0,,,,,,
Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,11.518.706.207,8.626.108.977,,,,,,,11518706207.0,8626108977.0,,,,,,
,,,46.189.843.113,26.685.313.545,,,,,,,46189843113.0,26685313545.0,,,,,,
(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,(b) Chi phí trả trước dài hạn,,,,,,,,
,,,Chi phí đấttrả trướcVND,"Chi phí thuệvăn phòng,nhà xưởngtrả trướcVND","Công cụ,dụng cụVND",Phụ tùngthay thếVND,Chi phísửa chữa lớntài sản cố địnhVND,Chênh lệchtỷ giá (*)VND,Chi phí trả trướcđài hạn khácVND,Tổng cộngVND,,,,,,,,
Số dư đầu năm,(b) Chi phí trả trước dài hạn > Số dư đầu năm,Số dư đầu năm,187.982.306.791,32.037.852.658,76.732.421.855,14.930.765.079,34.098.319.686,9.087.638.620,43.154.534.175,398.023.838.864,187982306791.0,32037852658.0,76732421855.0,14930765079.0,34098319686.0,9087638620.0,43154534175.0,398023838864.0
Tăng trong năm,(b) Chi phí trả trước dài hạn > Tăng trong năm,Tăng trong năm,60.265.550.515,-,44.800.939.020,5.729.989.748,18.718.975.819,-,45.986.587.277,175.502.042.379,60265550515.0,,44800939020.0,5729989748.0,18718975819.0,,45986587277.0,175502042379.0
Phân bổ trong năm,(b) Chi phí trả trước dài hạn > Phân bổ trong năm,Phân bổ trong năm,(14.584.172.900),(8.359.721.485),(57.985.659.941),(4.070.531.864),(24.274.304.401),(3.029.212.872),(21.458.245.312),(133.761.848.775),-14584172900.0,-8359721485.0,-57985659941.0,-4070531864.0,-24274304401.0,-3029212872.0,-21458245312.0,-133761848775.0
Giảm do thoái vốn đầu tư vào các công ty con,(b) Chi phí trả trước dài hạn > Giảm do thoái vốn đầu tư vào các công ty con,Giảm do thoái vốn đầu tư vào các công ty con,(9.759.750.393),-,(1.820.107.227),(39.835.335),(1.144.662.728),-,(37.973.195.335),(50.737.551.018),-9759750393.0,,-1820107227.0,-39835335.0,-1144662728.0,,-37973195335.0,-50737551018.0
Thanh lý,(b) Chi phí trả trước dài hạn > Thanh lý,Thanh lý,(774.615.869),-,(2.192.303.295),-,(4.087.080.899),-,-,(7.054.000.063),-774615869.0,,-2192303295.0,,-4087080899.0,,,-7054000063.0
Số dư cuối năm,(b) Chi phí trả trước dài hạn > Số dư cuối năm,Số dư cuối năm,223.129.318.144,23.678.131.173,59.535.290.412,16.550.387.628,23.311.247.477,6.058.425.748,29.709.680.805,381.972.481.387,223129318144.0,23678131173.0,59535290412.0,16550387628.0,23311247477.0,6058425748.0,29709680805.0,381972481387.0
