row_label_raw,row_label_full,col_0,Giá trị giao dịch > 2019 VND,Giá trị giao dịch > 2018 VND,numeric__Giá trị giao dịch > 2019 VND,numeric__Giá trị giao dịch > 2018 VND
Công ty Cổ phần May Hòa Thọ - Phú Ninh,Công ty Cổ phần May Hòa Thọ - Phú Ninh,Công ty Cổ phần May Hòa Thọ - Phú Ninh,Công ty Cổ phần May Hòa Thọ - Phú Ninh,Công ty Cổ phần May Hòa Thọ - Phú Ninh,,
Bán hàng hóa và cung cấp dịch vụ,Công ty Cổ phần May Hòa Thọ - Phú Ninh > Bán hàng hóa và cung cấp dịch vụ,Bán hàng hóa và cung cấp dịch vụ,1.116.619.321,1.021.867.971,1116619321.0,1021867971.0
Mua hàng hóa và dịch vụ,Công ty Cổ phần May Hòa Thọ - Phú Ninh > Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,70.817.115.352,67.717.024.444,70817115352.0,67717024444.0
Công ty Cổ phần May V Đệt May Nam Định,Công ty Cổ phần May V Đệt May Nam Định,Công ty Cổ phần May V Đệt May Nam Định,Công ty Cổ phần May V Đệt May Nam Định,Công ty Cổ phần May V Đệt May Nam Định,,
Khoản cho vay,Công ty Cổ phần May V Đệt May Nam Định > Khoản cho vay,Khoản cho vay,7.400.000.000,12.600.000.000,7400000000.0,12600000000.0
Nhận hoàn trả khoản vay,Công ty Cổ phần May V Đệt May Nam Định > Nhận hoàn trả khoản vay,Nhận hoàn trả khoản vay,10.200.000.000,11.400.000.000,10200000000.0,11400000000.0
Thu nhập lãi vay,Công ty Cổ phần May V Đệt May Nam Định > Thu nhập lãi vay,Thu nhập lãi vay,546.662.760,573.528.271,546662760.0,573528271.0
Lãi do người mua chậm trả,Công ty Cổ phần May V Đệt May Nam Định > Lãi do người mua chậm trả,Lãi do người mua chậm trả,150.000.000,197.500.000,150000000.0,197500000.0
Bán hàng hóa,Công ty Cổ phần May V Đệt May Nam Định > Bán hàng hóa,Bán hàng hóa,1.167.240.409,1.125.261.054,1167240409.0,1125261054.0
Thoái vốn,Công ty Cổ phần May V Đệt May Nam Định > Thoái vốn,Thoái vốn,-,2.346.000.000,,2346000000.0
Công ty Cổ phần May 1 Đệt Nam Định,Công ty Cổ phần May 1 Đệt Nam Định,Công ty Cổ phần May 1 Đệt Nam Định,Công ty Cổ phần May 1 Đệt Nam Định,Công ty Cổ phần May 1 Đệt Nam Định,,
Bán hàng và cung cấp dịch vụ,Công ty Cổ phần May 1 Đệt Nam Định > Bán hàng và cung cấp dịch vụ,Bán hàng và cung cấp dịch vụ,"5.951.681.440,0","823.542.750,0",5951681440.0,823542750.0
Vốn góp,Công ty Cổ phần May 1 Đệt Nam Định > Vốn góp,Vốn góp,-,"692.500.000,0",,692500000.0
