row_label_raw,row_label_full,col_0,Đã phát hành và đang lưu hành,Đã phát hành và đang lưu hành_1,Đã phát hành và đang lưu hành_2,numeric__Đã phát hành và đang lưu hành,numeric__Đã phát hành và đang lưu hành_1,numeric__Đã phát hành và đang lưu hành_2
,,,31/12/2019 và 1/1/2019,31/12/2019 và 1/1/2019,31/12/2019 và 1/1/2019,,,
,,,Số cổ phiếu,VND,%,,,
Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước – Công ty TNHH,Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước – Công ty TNHH,Tổng Công ty Đầu tư và Kinh doanh vốn Nhà nước – Công ty TNHH,267.438.100,2.674.381.000.000,"53,49%",267438100.0,2674381000000.0,0.5349
Tập đoàn Vingroup - CTCP (*),Tập đoàn Vingroup - CTCP (*),Tập đoàn Vingroup - CTCP (*),50.000.000,500.000.000.000,"10,00%",50000000.0,500000000000.0,0.1
ITOCHU Textile Prominent (ASIA) Limited,ITOCHU Textile Prominent (ASIA) Limited,ITOCHU Textile Prominent (ASIA) Limited,65.000.000,650.000.000.000,"13,00%",65000000.0,650000000000.0,0.13
Ông Bùi Mạnh Hưng,Ông Bùi Mạnh Hưng,Ông Bùi Mạnh Hưng,30.000.000,300.000.000.000,"6,00%",30000000.0,300000000000.0,0.06
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,87.561.900,875.619.000.000,"17,51%",87561900.0,875619000000.0,0.1751
,,,500.000.000,5.000.000.000.000,100%,500000000.0,5000000000000.0,1.0
