row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND Đã điều chỉnh lại
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,
NỘ PHẢI TRẢ (300 = 310 + 330),NGUỒN VỐN > NỘ PHẢI TRẢ (300 = 310 + 330),NỘ PHẢI TRẢ (300 = 310 + 330),300,,11.893.881.947.519,13.898.761.746.966,300.0,,11893881947519.0,13898761746966.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,310,,7.312.822.449.044,8.778.639.941.963,310.0,,7312822449044.0,8778639941963.0
Phải trả người bán ngắn hạn,NGUỒN VỐN > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,21,1.349.816.540.799,1.312.440.236.730,311.0,21.0,1349816540799.0,1312440236730.0
Người mua trả tiền trước ngắn hạn,NGUỒN VỐN > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,74.776.634.082,189.207.720.335,312.0,,74776634082.0,189207720335.0
Thuế và các khoản phải nộp Nhà nước,NGUỒN VỐN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,22(b),60.442.550.710,82.331.611.264,313.0,,60442550710.0,82331611264.0
Phải trả người lao động,NGUỒN VỐN > Phải trả người lao động,Phải trả người lao động,314,,562.443.228.583,588.180.295.163,314.0,,562443228583.0,588180295163.0
Chi phí phải trả ngắn hạn,NGUỒN VỐN > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,23(a),89.510.100.874,112.421.333.997,315.0,,89510100874.0,112421333997.0
Doanh thu chưa thực hiện ngắn hạn,NGUỒN VỐN > Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,25,13.679.365.174,10.990.211.459,318.0,25.0,13679365174.0,10990211459.0
Phải trả ngắn hạn khác,NGUỒN VỐN > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,24(a),467.445.800.584,604.149.072.236,319.0,,467445800584.0,604149072236.0
Vay và nợ thuê tài chính ngắn hạn,NGUỒN VỐN > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,26(a),4.531.543.973.875,5.727.826.476.476,320.0,,4531543973875.0,5727826476476.0
Dự phòng phải trả ngắn hạn,NGUỒN VỐN > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,27,2.314.337.751,-,321.0,27.0,2314337751.0,
"Quỹ khen thưởng, phúc lợi","NGUỒN VỐN > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,28,160.849.916.612,151.092.984.303,322.0,28.0,160849916612.0,151092984303.0
Nợ dài hạn,NGUỒN VỐN > Nợ dài hạn,Nợ dài hạn,330,,4.581.059.498.475,5.120.121.805.003,330.0,,4581059498475.0,5120121805003.0
Phải trả người bán dài hạn,NGUỒN VỐN > Phải trả người bán dài hạn,Phải trả người bán dài hạn,331,,17.600.000,-,331.0,,17600000.0,
Người mua trả tiền trước dài hạn,NGUỒN VỐN > Người mua trả tiền trước dài hạn,Người mua trả tiền trước dài hạn,332,,21.147.559.587,15.294.587.874,332.0,,21147559587.0,15294587874.0
Chi phí phải trả dài hạn,NGUỒN VỐN > Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,23(b),23.716.800.000,24.665.472.000,333.0,,23716800000.0,24665472000.0
Doanh thu chưa thực hiện dài hạn,NGUỒN VỐN > Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,336,25,328.411.892.102,233.241.961.588,336.0,25.0,328411892102.0,233241961588.0
Phải trả dài hạn khác,NGUỒN VỐN > Phải trả dài hạn khác,Phải trả dài hạn khác,337,24(b),95.938.343.430,87.081.581.052,337.0,,95938343430.0,87081581052.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","NGUỒN VỐN > Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",338,26(b),4.021.815.432.977,4.633.405.784.037,338.0,,4021815432977.0,4633405784037.0
Thuế thu nhập hoãn lại phải trả,NGUỒN VỐN > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,19,62.239.358.739,55.700.980.180,341.0,19.0,62239358739.0,55700980180.0
Dự phòng phải trả dài hạn,NGUỒN VỐN > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,27,27.772.511.640,70.676.377.590,342.0,27.0,27772511640.0,70676377590.0
Quỹ phát triển khoa học và công nghệ,NGUỒN VỐN > Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,343,,-,55.060.682,343.0,,,55060682.0
