row_label_raw,row_label_full,col_0,1/1/2019 > Giá trị ghi sổ và số có khả năng trả nợ VND,1/1/2019 > Tăng VND,Biến động trong năm > Giảm VND,Biến động trong năm > Giảm do thoái vốn đầu tư vào các công ty con VND,Biến động trong năm > Chênh lệch tỷ giá VND,31/12/2019 > Giá trị ghi sổ và số có khả năng trả nợ VND,31/12/2019,numeric__1/1/2019 > Giá trị ghi sổ và số có khả năng trả nợ VND,numeric__1/1/2019 > Tăng VND,numeric__Biến động trong năm > Giảm VND,numeric__Biến động trong năm > Giảm do thoái vốn đầu tư vào các công ty con VND,numeric__Biến động trong năm > Chênh lệch tỷ giá VND,numeric__31/12/2019 > Giá trị ghi sổ và số có khả năng trả nợ VND,numeric__31/12/2019
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,5.006.819.891.406,14.044.321.353.891,(14.379.669.674.494),(742.526.703.697),(54.502.137),3.928.890.364.969,,5006819891406.0,14044321353891.0,-14379669674494.0,-742526703697.0,-54502137.0,3928890364969.0,
Vay dài hạn đến hạn trả (Thuyết minh 26(b)(i)),Vay dài hạn đến hạn trả (Thuyết minh 26(b)(i)),Vay dài hạn đến hạn trả (Thuyết minh 26(b)(i)),569.998.758.238,476.668.416.518,(440.097.769.003),(32.645.580.268),(90.498.291),573.833.327.194,,569998758238.0,476668416518.0,-440097769003.0,-32645580268.0,-90498291.0,573833327194.0,
Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,Trái phiếu thường dài hạn đến hạn trả,130.000.000.000,-,(130.000.000.000),-,-,-,,130000000000.0,,-130000000000.0,,,,
Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,Nợ gốc thuê tài chính đến hạn trả trong vòng 12 tháng,20.127.416.832,31.976.280.079,(23.265.071.723),-,(18.343.476),28.820.281.712,,20127416832.0,31976280079.0,-23265071723.0,,-18343476.0,28820281712.0,
Nợ dài hạn khác đến hạn trả trong vòng 12 tháng,Nợ dài hạn khác đến hạn trả trong vòng 12 tháng,Nợ dài hạn khác đến hạn trả trong vòng 12 tháng,880.410.000,-,(440.205.000),(440.205.000),-,-,,880410000.0,,-440205000.0,-440205000.0,,,
,,,5.727.826.476.476,14.552.966.050.488,(14.973.472.720.220),(775.612.488.965),(163.343.904),4.531.543.973.875,,5727826476476.0,14552966050488.0,-14973472720220.0,-775612488965.0,-163343904.0,4531543973875.0,
