row_label_raw,row_label_full,Tại ngày 31/12/2019,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,1.766.985.085.936,309.945.972.417,2.076.931.058.353,1766985085936.0,309945972417.0,2076931058353.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,17.756.599.931.359,,,17756599931359.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,19.833.530.989.712,,,19833530989712.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,172.311.675.204,1.273.446.659.264,1.445.758.334.468,172311675204.0,1273446659264.0,1445758334468.0
Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,10.448.123.613.051,,,10448123613051.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,11.893.881.947.519,,,11893881947519.0
Tại ngày 1/1/2019,Tại ngày 1/1/2019,Tại ngày 1/1/2019,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,,,
Tải sản của bộ phận,Tại ngày 1/1/2019 > Tải sản của bộ phận,Tải sản của bộ phận,1.449.317.872.006,754.275.662.283,2.203.593.534.289,1449317872006.0,754275662283.0,2203593534289.0
Tải sản không phân bổ,Tại ngày 1/1/2019 > Tải sản không phân bổ,Tải sản không phân bổ,,,19.691.267.158.389,,,19691267158389.0
Tổng tài sản,Tại ngày 1/1/2019 > Tổng tài sản,Tổng tài sản,,,21.894.860.692.678,,,21894860692678.0
Nợ phải trả của bộ phận,Tại ngày 1/1/2019 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,848.798.926.031,668.143.618.908,1.516.942.544.939,848798926031.0,668143618908.0,1516942544939.0
Các khoản nợ không phân bổ,Tại ngày 1/1/2019 > Các khoản nợ không phân bổ,Các khoản nợ không phân bổ,,,12.381.819.202.027,,,12381819202027.0
Tổng nợ phải trả,Tại ngày 1/1/2019 > Tổng nợ phải trả,Tổng nợ phải trả,,,13.898.761.746.966,,,13898761746966.0
