row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.250.936.977.169,4.860.059.391.673,198.801.079.163,53.136.745.111,94.949.129.964,6.457.883.323.080,1250936977169.0,4860059391673.0,198801079163.0,53136745111.0,94949129964.0,6457883323080.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,171.491.887.151,569.768.228.342,24.760.850.203,6.939.799.293,13.917.507.850,786.878.272.839,171491887151.0,569768228342.0,24760850203.0,6939799293.0,13917507850.0,786878272839.0
Chuyển sang tài sản cố định hữu hìnhthuê tài chính,Giá trị hao mòn lũy kế > Chuyển sang tài sản cố định hữu hìnhthuê tài chính,Chuyển sang tài sản cố định hữu hìnhthuê tài chính,-,(23.267.457.823),-,-,-,(23.267.457.823),,-23267457823.0,,,,-23267457823.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(17.264.656.602),-,-,-,-,(17.264.656.602),-17264656602.0,,,,,-17264656602.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(15.819.556.799),(173.513.354.469),(7.270.697.590),(653.441.590),(886.849.177),(198.143.899.625),-15819556799.0,-173513354469.0,-7270697590.0,-653441590.0,-886849177.0,-198143899625.0
Giảm do thoái vốn đầu tvào các công ty con,Giá trị hao mòn lũy kế > Giảm do thoái vốn đầu tvào các công ty con,Giảm do thoái vốn đầu tvào các công ty con,(200.531.056.926),(485.698.147.920),(30.354.755.011),(4.639.191.503),(2.741.617.078),(723.964.768.438),-200531056926.0,-485698147920.0,-30354755011.0,-4639191503.0,-2741617078.0,-723964768438.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,130.141.131,11.170.730.081,(11.204.435.435),(461.818.558),365.382.781,-,130141131.0,11170730081.0,-11204435435.0,-461818558.0,365382781.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.188.943.735.124,4.758.519.389.884,174.732.041.330,54.322.092.753,105.603.554.340,6.282.120.813.431,1188943735124.0,4758519389884.0,174732041330.0,54322092753.0,105603554340.0,6282120813431.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.501.118.475.220,4.400.083.358.985,164.266.755.362,44.802.585.757,67.900.485.960,7.178.171.661.284,2501118475220.0,4400083358985.0,164266755362.0,44802585757.0,67900485960.0,7178171661284.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.338.857.822.372,3.985.324.372.448,134.233.219.061,42.620.124.610,74.965.771.538,6.576.001.310.029,2338857822372.0,3985324372448.0,134233219061.0,42620124610.0,74965771538.0,6576001310029.0
