row_label_raw,row_label_full,Năm 2019,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,numeric__Nội địa VND,numeric__Xuất khẩu VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,7.967.827.690.574,11.018.178.706.223,18.986.006.396.797,7967827690574.0,11018178706223.0,18986006396797.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,278.684.084.342,1.237.138.902.641,1.515.822.986.983,278684084342.0,1237138902641.0,1515822986983.0
Thu nhập không phân bổ,Thu nhập không phân bổ,Thu nhập không phân bổ,,,1.066.985.288.516,,,1066985288516.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,(1.856.094.288.896),,,-1856094288896.0
Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,726.713.986.603,,,726713986603.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,86.051.171.368,,,86051171368.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(47.264.762.900),,,-47264762900.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(49.162.730.207),,,-49162730207.0
Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,716.337.664.864,,,716337664864.0
Năm 2018,Năm 2018,Năm 2018,Nội địa VND,Xuất khẩu VND,Hợp nhất VND,,,
Tổng doanh thu của bộ phận,Năm 2018 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,5.925.996.174.684,13.175.469.957.484,19.101.466.132.168,5925996174684.0,13175469957484.0,19101466132168.0
Kết quả kinh doanh của bộ phận,Năm 2018 > Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,422.447.093.221,1.378.552.297.912,1.800.999.391.133,422447093221.0,1378552297912.0,1800999391133.0
Thu nhập không phân bổ,Năm 2018 > Thu nhập không phân bổ,Thu nhập không phân bổ,,,997.086.058.687,,,997086058687.0
Chi phí không phân bổ,Năm 2018 > Chi phí không phân bổ,Chi phí không phân bổ,,,(2.074.443.855.496),,,-2074443855496.0
Kết quả từ hoạt động kinh doanh,Năm 2018 > Kết quả từ hoạt động kinh doanh,Kết quả từ hoạt động kinh doanh,,,723.641.594.324,,,723641594324.0
Thu nhập khác,Năm 2018 > Thu nhập khác,Thu nhập khác,,,148.078.810.827,,,148078810827.0
Chi phí khác,Năm 2018 > Chi phí khác,Chi phí khác,,,(110.319.717.305),,,-110319717305.0
Thuế thu nhập doanh nghiệp,Năm 2018 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,,(58.784.636.068),,,-58784636068.0
Lợi nhuận thuần sau thuế TNDN,Năm 2018 > Lợi nhuận thuần sau thuế TNDN,Lợi nhuận thuần sau thuế TNDN,,,702.616.051.778,,,702616051778.0
