row_label_raw,row_label_full,Năm 2019,Công nghiệpđệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhắcVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpđệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhắcVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấpdịch vụ ra bên ngoài,17.888.271.960.415,128.839.056.253,968.895.380.129,-,18.986.006.396.797,17888271960415.0,128839056253.0,968895380129.0,,18986006396797.0
Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấpdịch vụ giữa các bộ phận,2.657.980.498.791,31.081.753.389,7.422.850.141,(2.696.485.102.321),-,2657980498791.0,31081753389.0,7422850141.0,-2696485102321.0,
Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,Tổng doanh thu thuần về bán hàng vàcung cấp dịch vụ của bộ phận,20.546.252.459.206,159.920.809.642,976.318.230.270,(2.696.485.102.321),18.986.006.396.797,20546252459206.0,159920809642.0,976318230270.0,-2696485102321.0,18986006396797.0
Phần lãi hoặc lỗ trong công ty liên kết,Phần lãi hoặc lỗ trong công ty liên kết,Phần lãi hoặc lỗ trong công ty liên kết,679.029.409.817,(5.182.662.432),26.810.162.133,-,700.656.909.518,679029409817.0,-5182662432.0,26810162133.0,,700656909518.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,582.456.653.941,5.349.341.550,69.993.229.562,68.914.761.550,726.713.986.603,582456653941.0,5349341550.0,69993229562.0,68914761550.0,726713986603.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,140.088.959.372,6.319.739.921,2.074.757.076,(62.432.285.001),86.051.171.368,140088959372.0,6319739921.0,2074757076.0,-62432285001.0,86051171368.0
Chi phí khác,Chi phí khác,Chi phí khác,(31.685.101.438),(13.490.139.744),(2.531.060.992),441.539.274,(47.264.762.900),-31685101438.0,-13490139744.0,-2531060992.0,441539274.0,-47264762900.0
Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,Chi phí thuế thu nhập doanh nghiệphiện hành,(23.413.654.231),(1.327.376.939),(16.537.064.806),-,(41.278.095.976),-23413654231.0,-1327376939.0,-16537064806.0,,-41278095976.0
Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,(537.851.688),-,-,(7.346.782.543),(7.884.634.231),-537851688.0,,,-7346782543.0,-7884634231.0
Lợi nhuận/(lỗ) thuần sau thuế TNDN,Lợi nhuận/(lỗ) thuần sau thuế TNDN,Lợi nhuận/(lỗ) thuần sau thuế TNDN,666.909.005.956,(3.148.435.212),52.999.860.840,(422.766.720),716.337.664.864,666909005956.0,-3148435212.0,52999860840.0,-422766720.0,716337664864.0
