row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND Đã điều chỉnh lại
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,9.341.106.920.668,10.772.264.170.794,100.0,,9341106920668.0,10772264170794.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,412.299.064.625,1.591.051.847.226,110.0,6.0,412299064625.0,1591051847226.0
Tiền,Tiền,Tiền,111,,294.068.859.146,300.809.348.604,111.0,,294068859146.0,300809348604.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,118.230.205.479,1.290.242.498.622,112.0,,118230205479.0,1290242498622.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,1.717.957.810.829,530.964.535.704,120.0,,1717957810829.0,530964535704.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,7(a),1.717.957.810.829,530.964.535.704,123.0,,1717957810829.0,530964535704.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,3.313.751.276.066,3.506.098.485.161,130.0,,3313751276066.0,3506098485161.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,8,2.221.905.904.397,2.327.069.170.076,131.0,8.0,2221905904397.0,2327069170076.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,154.581.082.303,201.282.072.077,132.0,,154581082303.0,201282072077.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,9,163.891.444.792,172.522.442.156,135.0,9.0,163891444792.0,172522442156.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,10(a),1.072.867.342.729,1.128.786.266.023,136.0,,1072867342729.0,1128786266023.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,11,(299.555.928.347),(324.757.707.864),137.0,11.0,-299555928347.0,-324757707864.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,61.430.192,1.196.242.693,139.0,,61430192.0,1196242693.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,12,3.632.577.906.079,4.843.699.346.538,140.0,12.0,3632577906079.0,4843699346538.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,3.697.724.041.470,4.963.162.189.914,141.0,,3697724041470.0,4963162189914.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(65.146.135.391),(119.462.843.376),149.0,,-65146135391.0,-119462843376.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,264.520.863.069,300.449.956.165,150.0,,264520863069.0,300449956165.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,18(a),46.189.843.113,26.685.313.545,151.0,,46189843113.0,26685313545.0
Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,215.127.869.896,258.541.452.805,152.0,,215127869896.0,258541452805.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,22(a),3.203.150.060,15.223.189.815,153.0,,3203150060.0,15223189815.0
