row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tài sản khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,149.749.365.598,18.323.028.045,2.001.661.600,170.074.055.243,149749365598.0,18323028045.0,2001661600.0,170074055243.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,141.853.400,10.556.236.843,-,10.698.090.243,141853400.0,10556236843.0,,10698090243.0
Giảm do thoái vốn đầu tư vào các công ty con,Nguyên giá > Giảm do thoái vốn đầu tư vào các công ty con,Giảm do thoái vốn đầu tư vào các công ty con,(7.135.943.519),(712.488.684),(900.000.000),(8.748.432.203),-7135943519.0,-712488684.0,-900000000.0,-8748432203.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,142.755.275.479,28.166.776.204,1.101.661.600,172.023.713.283,142755275479.0,28166776204.0,1101661600.0,172023713283.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,24.128.893.232,12.499.536.970,782.915.509,37.411.345.711,24128893232.0,12499536970.0,782915509.0,37411345711.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.833.505.113,10.101.826.423,89.005.000,13.024.336.536,2833505113.0,10101826423.0,89005000.0,13024336536.0
Giảm do thoái vốn đầu tư vào các công ty con,Giá trị hao mòn lũy kế > Giảm do thoái vốn đầu tư vào các công ty con,Giảm do thoái vốn đầu tư vào các công ty con,(416.169.659),(441.945.735),(200.000.000),(1.058.115.394),-416169659.0,-441945735.0,-200000000.0,-1058115394.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,26.546.228.686,22.159.417.658,671.920.509,49.377.566.853,26546228686.0,22159417658.0,671920509.0,49377566853.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,125.620.472.366,5.823.491.075,1.218.746.091,132.662.709.532,125620472366.0,5823491075.0,1218746091.0,132662709532.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,116.209.046.793,6.007.358.546,429.741.091,122.646.146.430,116209046793.0,6007358546.0,429741091.0,122646146430.0
