row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sản khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.752.055.452.389,9.260.142.750.658,363.067.834.525,97.939.330.868,162.849.615.924,13.636.054.984.364,3752055452389.0,9260142750658.0,363067834525.0,97939330868.0,162849615924.0,13636054984364.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,40.618.927.702,130.489.801.749,13.526.784.428,3.632.752.060,9.729.143.160,197.997.409.099,40618927702.0,130489801749.0,13526784428.0,3632752060.0,9729143160.0,197997409099.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,226.034.326.754,439.336.544.434,2.582.890.338,1.290.318.182,13.342.650.557,682.586.730.265,226034326754.0,439336544434.0,2582890338.0,1290318182.0,13342650557.0,682586730265.0
Chuyển sang tài sản cố định hữu hìnhthuê tài chính,Nguyên giá > Chuyển sang tài sản cố định hữu hìnhthuê tài chính,Chuyển sang tài sản cố định hữu hìnhthuê tài chính,-,(43.816.622.581),-,-,-,(43.816.622.581),,-43816622581.0,,,,-43816622581.0
Chuyển sang bất động sản đầu tư,Nguyên giá > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(122.723.013.122),-,-,-,-,(122.723.013.122),-122723013122.0,,,,,-122723013122.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(47.384.401.856),(213.104.861.519),(9.283.321.442),(2.303.791.028),(1.713.102.599),(273.789.478.444),-47384401856.0,-213104861519.0,-9283321442.0,-2303791028.0,-1713102599.0,-273789478444.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(3.939.278.498),(1.410.214.082),-,-,-,(5.349.492.580),-3939278498.0,-1410214082.0,,,,-5349492580.0
Giảm do thoái vốn đầu tusvảo các công ty con,Nguyên giá > Giảm do thoái vốn đầu tusvảo các công ty con,Giảm do thoái vốn đầu tusvảo các công ty con,(317.029.455.963),(835.303.749.226),(49.724.492.023),(6.776.332.384),(4.004.363.945),(1.212.838.393.541),-317029455963.0,-835303749226.0,-49724492023.0,-6776332384.0,-4004363945.0,-1212838393541.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,169.000.090,7.510.112.899,(11.204.435.435),3.159.939.665,365.382.781,-,169000090.0,7510112899.0,-11204435435.0,3159939665.0,365382781.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.527.801.557.496,8.743.843.762.332,308.965.260.391,96.942.217.363,180.569.325.878,12.858.122.123.460,3527801557496.0,8743843762332.0,308965260391.0,96942217363.0,180569325878.0,12858122123460.0
