row_label_raw,row_label_full,col_0,Giá trị ghi sốcủa tài sản thuần tạingày mất quyềnkiểm soátVND,numeric__Giá trị ghi sốcủa tài sản thuần tạingày mất quyềnkiểm soátVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,35.182.010.502,35182010502.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,5.870.293.500,5870293500.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,521.059.485.841,521059485841.0
Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,28.756.941.191,28756941191.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,409.331.366.757,409331366757.0
Thuế và các khoản khác phải thu của Nhà nước,Thuế và các khoản khác phải thu của Nhà nước,Thuế và các khoản khác phải thu của Nhà nước,85.789.565,85789565.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,47.045.851.378,47045851378.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,182.296.308.559,182296308559.0
Tài sản cố định hữu hình – nguyên giá,Tài sản cố định hữu hình – nguyên giá,Tài sản cố định hữu hình – nguyên giá,1.212.838.393.541,1212838393541.0
Tài sản cố định hữu hình – giá trị hao mòn lũy kế,Tài sản cố định hữu hình – giá trị hao mòn lũy kế,Tài sản cố định hữu hình – giá trị hao mòn lũy kế,(723.964.768.438),-723964768438.0
Tài sản cố định vô hình – nguyên giá,Tài sản cố định vô hình – nguyên giá,Tài sản cố định vô hình – nguyên giá,8.748.432.203,8748432203.0
Tài sản cố định vô hình – giá trị hao mòn lũy kế,Tài sản cố định vô hình – giá trị hao mòn lũy kế,Tài sản cố định vô hình – giá trị hao mòn lũy kế,(1.058.115.394),-1058115394.0
Bất động sản đầu tư – nguyên giá,Bất động sản đầu tư – nguyên giá,Bất động sản đầu tư – nguyên giá,12.843.968.512,12843968512.0
Bất động sản đầu tư – giá trị hao mòn lũy kế,Bất động sản đầu tư – giá trị hao mòn lũy kế,Bất động sản đầu tư – giá trị hao mòn lũy kế,(9.863.367.680),-9863367680.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,83.383.079.298,83383079298.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,50.737.551.018,50737551018.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,18.729.732.877,18729732877.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(297.844.213.603),-297844213603.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(7.707.241.762),-7707241762.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(60.000.001.845),-60000001845.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,(775.612.488.965),-775612488965.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",(216.844.840.859),-216844840859.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",(2.889.902.100),-2889902100.0
Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,Giá trị ghi sổ của tài sản thuần tại ngày mất quyền kiểm soát,521.124.264.096,521124264096.0
Lợi ích cố đông không kiểm soát của công ty con cấp 2,Lợi ích cố đông không kiểm soát của công ty con cấp 2,Lợi ích cố đông không kiểm soát của công ty con cấp 2,(204.647.177.843),-204647177843.0
Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 tại ngày mất quyền kiểm soát,316.477.086.253,316477086253.0
Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,Phần tài sản thuần thuộc công ty con cấp 1 sau khi mất quyền kiểm soát,276.211.556.508,276211556508.0
Giá trị tài sản thuần chuyển nhượng,Giá trị tài sản thuần chuyển nhượng,Giá trị tài sản thuần chuyển nhượng,40.265.529.745,40265529745.0
Lãi từ thoái vốn đầu tư vào công ty con (Thuyết minh 37),Lãi từ thoái vốn đầu tư vào công ty con (Thuyết minh 37),Lãi từ thoái vốn đầu tư vào công ty con (Thuyết minh 37),122.454.786.167,122454786167.0
Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,Tiền thu được từ thoái vốn,162.720.315.912,162720315912.0
Khoản tiền giảm do thoái vốn đầu tư vào công ty con,Khoản tiền giảm do thoái vốn đầu tư vào công ty con,Khoản tiền giảm do thoái vốn đầu tư vào công ty con,(35.182.010.502),-35182010502.0
Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,Khoản tiền thuần tăng lên do thoái vốn đầu tư vào công ty con,127.538.305.410,127538305410.0
