row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND Đã điều chỉnh lại
VỐN CHỦ SỞ HỮU (400 = 410 + 430),VỐN CHỦ SỞ HỮU (400 = 410 + 430),VỐN CHỦ SỞ HỮU (400 = 410 + 430),400,29,7.939.649.042.193,7.996.098.945.712,400.0,29.0,7939649042193.0,7996098945712.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,7.911.309.644.211,7.965.717.920.710,410.0,,7911309644211.0,7965717920710.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,30,5.000.000.000.000,5.000.000.000.000,411.0,30.0,5000000000000.0,5000000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.000.000.000.000,5.000.000.000.000,,,5000000000000.0,5000000000000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,29.911.650.892,29.911.650.892,412.0,,29911650892.0,29911650892.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,39.707.195.973,42.248.630.739,414.0,,39707195973.0,42248630739.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,,(739.634.553.737),(740.362.454.896),416.0,,-739634553737.0,-740362454896.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,32,543.609.956.752,526.746.543.959,418.0,32.0,543609956752.0,526746543959.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,739.021.636.748,657.194.845.550,421.0,,739021636748.0,657194845550.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,220.288.909.062,219.098.282.370,,,220288909062.0,219098282370.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,518.732.727.686,438.096.563.180,,,518732727686.0,438096563180.0
Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,422,33,550.677.792.232,550.677.792.232,422.0,33.0,550677792232.0,550677792232.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,1.748.015.965.351,1.899.300.912.234,429.0,,1748015965351.0,1899300912234.0
Nguồn kinh phí và các quỹ khác,Nguồn kinh phí và các quỹ khác,Nguồn kinh phí và các quỹ khác,430,,28.339.397.982,30.381.025.002,430.0,,28339397982.0,30381025002.0
Nguồn kinh phí đã hình thành tài sản cố định,Nguồn kinh phí đã hình thành tài sản cố định,Nguồn kinh phí đã hình thành tài sản cố định,432,,28.339.397.982,30.381.025.002,432.0,,28339397982.0,30381025002.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,19.833.530.989.712,21.894.860.692.678,440.0,,19833530989712.0,21894860692678.0
