row_label_raw,row_label_full,col_0,31/12/2019VND,1/1/2019VNDĐã điều chỉnh lại,numeric__31/12/2019VND,numeric__1/1/2019VNDĐã điều chỉnh lại
Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,537.714.824.026,505.264.408.312,537714824026.0,505264408312.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,108.490.160.101,130.356.488.347,108490160101.0,130356488347.0
Phải thu chuyển nhượng dự án đầu tư,Phải thu chuyển nhượng dự án đầu tư,Phải thu chuyển nhượng dự án đầu tư,10.000.000.000,20.000.000.000,10000000000.0,20000000000.0
Góp vốn vào hoạt động kinh doanh đồng kiểm soát (*),Góp vốn vào hoạt động kinh doanh đồng kiểm soát (*),Góp vốn vào hoạt động kinh doanh đồng kiểm soát (*),225.000.000.000,225.000.000.000,225000000000.0,225000000000.0
Phải thu các khoản tạm ứng,Phải thu các khoản tạm ứng,Phải thu các khoản tạm ứng,13.423.239.425,50.363.943.192,13423239425.0,50363943192.0
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",67.942.745.612,60.082.705.035,67942745612.0,60082705035.0
Phải thu Công ty Cổ phần Vinatex Quốc tế,Phải thu Công ty Cổ phần Vinatex Quốc tế,Phải thu Công ty Cổ phần Vinatex Quốc tế,Phải thu Công ty Cổ phần Vinatex Quốc tế,Phải thu Công ty Cổ phần Vinatex Quốc tế,,
về các hợp đồng cho thuê tài sản,Phải thu Công ty Cổ phần Vinatex Quốc tế > về các hợp đồng cho thuê tài sản,về các hợp đồng cho thuê tài sản,31.097.155.583,29.669.163.880,31097155583.0,29669163880.0
Phải thu từ tiền phạt hợp đồng,Phải thu Công ty Cổ phần Vinatex Quốc tế > Phải thu từ tiền phạt hợp đồng,Phải thu từ tiền phạt hợp đồng,29.619.799.850,24.727.366.823,29619799850.0,24727366823.0
Phải thu lãi tiền gửi ngân hàng,Phải thu Công ty Cổ phần Vinatex Quốc tế > Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,20.584.312.082,12.528.489.621,20584312082.0,12528489621.0
Phải thu người lao động,Phải thu Công ty Cổ phần Vinatex Quốc tế > Phải thu người lao động,Phải thu người lao động,4.869.040.422,1.204.483.872,4869040422.0,1204483872.0
Phải thu về cổ phần hóa,Phải thu Công ty Cổ phần Vinatex Quốc tế > Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,5.112.133.324,5.218.333.324,5112133324.0,5218333324.0
Các khoản chi hộ,Phải thu Công ty Cổ phần Vinatex Quốc tế > Các khoản chi hộ,Các khoản chi hộ,3.029.332.110,2.884.767.953,3029332110.0,2884767953.0
Phải thu tiền bồi thường bảo hiểm đang chờ xử lý,Phải thu Công ty Cổ phần Vinatex Quốc tế > Phải thu tiền bồi thường bảo hiểm đang chờ xử lý,Phải thu tiền bồi thường bảo hiểm đang chờ xử lý,-,11.480.107.451,,11480107451.0
Phải thu khác,Phải thu Công ty Cổ phần Vinatex Quốc tế > Phải thu khác,Phải thu khác,15.984.600.194,50.006.008.213,15984600194.0,50006008213.0
,,,1.072.867.342.729,1.128.786.266.023,1072867342729.0,1128786266023.0
