row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND Đã điều chỉnh lại
Tài sản dài hạn (200 = 210 + 220 + 230 + 240 + 250 + 260),Tài sản dài hạn (200 = 210 + 220 + 230 + 240 + 250 + 260),Tài sản dài hạn (200 = 210 + 220 + 230 + 240 + 250 + 260),200,,10.492.424.069.044,11.122.596.521.884,200.0,,10492424069044.0,11122596521884.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,317.290.610.714,337.967.514.004,210.0,,317290610714.0,337967514004.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,,6.302.200.000,6.538.300.000,215.0,,6302200000.0,6538300000.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,10(b),413.911.005.510,450.751.808.800,216.0,,413911005510.0,450751808800.0
Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,219,11,(102.922.594.796),(119.322.594.796),219.0,11.0,-102922594796.0,-119322594796.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,6.819.610.165.215,7.365.097.360.609,220.0,,6819610165215.0,7365097360609.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,13,6.576.001.310.029,7.178.171.661.284,221.0,13.0,6576001310029.0,7178171661284.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,12.858.122.123.460,13.636.054.984.364,222.0,,12858122123460.0,13636054984364.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(6.282.120.813.431),(6.457.883.323.080),223.0,,-6282120813431.0,-6457883323080.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,14,120.962.708.756,54.262.989.793,224.0,14.0,120962708756.0,54262989793.0
Nguyên giá,Nguyên giá,Nguyên giá,225,,160.507.724.393,63.165.850.569,225.0,,160507724393.0,63165850569.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(39.545.015.637),(8.902.860.776),226.0,,-39545015637.0,-8902860776.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,15,122.646.146.430,132.662.709.532,227.0,15.0,122646146430.0,132662709532.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,172.023.713.283,170.074.055.243,228.0,,172023713283.0,170074055243.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(49.377.566.853),(37.411.345.711),229.0,,-49377566853.0,-37411345711.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,230,16,324.297.220.190,178.515.423.788,230.0,16.0,324297220190.0,178515423788.0
Nguyên giá,Nguyên giá,Nguyên giá,231,,377.248.278.173,211.317.729.648,231.0,,377248278173.0,211317729648.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,232,,(52.951.057.983),(32.802.305.860),232.0,,-52951057983.0,-32802305860.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,304.911.956.611,690.509.110.384,240.0,,304911956611.0,690509110384.0
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,242,17,304.911.956.611,690.509.110.384,242.0,17.0,304911956611.0,690509110384.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,,2.338.913.160.940,2.142.822.165.620,250.0,,2338913160940.0,2142822165620.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,252,7(b),2.146.875.320.334,1.919.384.959.300,252.0,,2146875320334.0,1919384959300.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,7(b),216.605.976.303,245.927.489.068,253.0,,216605976303.0,245927489068.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,254,7(b),(28.268.135.697),(25.795.282.748),254.0,,-28268135697.0,-25795282748.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,255,7(a),3.700.000.000,3.305.000.000,255.0,,3700000000.0,3305000000.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,387.400.955.374,407.684.947.479,260.0,,387400955374.0,407684947479.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,18(b),381.972.481.387,398.023.838.864,261.0,,381972481387.0,398023838864.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,19,4.647.115.054,5.993.370.726,262.0,19.0,4647115054.0,5993370726.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,,781.358.933,581.358.933,268.0,,781358933.0,581358933.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,20,,3.086.378.956,269.0,20.0,,3086378956.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,19.833.530.989.712,21.894.860.692.678,270.0,,19833530989712.0,21894860692678.0
