row_label_raw,row_label_full,col_0,31/12/2019,31/12/2019_1,numeric__31/12/2019,numeric__31/12/2019_1
,,,Giá gốc VND,Dự phòng VND,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,183.458.465.415,-,183458465415.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,1.141.187.366.798,(7.642.752.163),1141187366798.0,-7642752163.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,4.242.030.785,-,4242030785.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.264.423.321.410,(8.229.414.350),1264423321410.0,-8229414350.0
Thành phẩm,Thành phẩm,Thành phẩm,995.538.642.195,(46.959.322.185),995538642195.0,-46959322185.0
Hàng hóa,Hàng hóa,Hàng hóa,32.163.162.884,(2.314.646.693),32163162884.0,-2314646693.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,76.711.051.983,-,76711051983.0,
,,,3.697.724.041.470,(65.146.135.391),3697724041470.0,-65146135391.0
,,,1/1/2019,1/1/2019,,
,,,Giá gốc VND,Dự phòng VND,,
Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,241.188.774.983,-,241188774983.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,1.716.295.046.898,(25.800.856.949),1716295046898.0,-25800856949.0
Công cụ và dụng cụ,Công cụ và dụng cụ,Công cụ và dụng cụ,13.333.729.930,(38.649.660),13333729930.0,-38649660.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,1.443.684.496.374,(6.432.009.319),1443684496374.0,-6432009319.0
Thành phẩm,Thành phẩm,Thành phẩm,1.307.155.004.277,(85.233.153.971),1307155004277.0,-85233153971.0
Hàng hóa,Hàng hóa,Hàng hóa,54.894.043.096,(1.958.173.477),54894043096.0,-1958173477.0
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,186.611.094.356,-,186611094356.0,
,,,4.963.162.189.914,(119.462.843.376),4963162189914.0,-119462843376.0
