row_label_raw,row_label_full,STT,Tên đơn vị,Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2019,Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2019,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2019,Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2019,Giá trị đầu tư của công ty mẹ trực tiếp theo mệnh giá gốc khoản đầu tư VND > 31/12/2019,Giá trị đầu tư của công ty mẹ trực tiếp theo mệnh giá gốc khoản đầu tư VND > 1/1/2019,Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 31/12/2019,Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 1/1/2019,numeric__Tên đơn vị,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2019,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2019,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 31/12/2019,numeric__Tỷ lệ sở hữu của công ty mẹ trực tiếp > 1/1/2019,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mệnh giá gốc khoản đầu tư VND > 31/12/2019,numeric__Giá trị đầu tư của công ty mẹ trực tiếp theo mệnh giá gốc khoản đầu tư VND > 1/1/2019,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 31/12/2019,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 1/1/2019
Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ,,,,,,,,,
1,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ > 1,1,Công ty Cổ phần Thời trang Hòa Thọ,"49,94%","49,94%","76,88%","76,88%",2.667.900.000,2.667.900.000,-,-,,0.49939999999999996,0.49939999999999996,0.7687999999999999,0.7687999999999999,2667900000.0,2667900000.0,,
2,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ > 2,2,Công ty May Hòa Thọ - Hội An,"35,19%","35,19%","54,18%","54,18%",5.418.000.000,5.418.000.000,-,-,,0.3519,0.3519,0.5418,0.5418,5418000000.0,5418000000.0,,
3,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ > 3,3,Công ty Cổ phần May Hòa Thọ - Duy Xuyên,"53,09%","53,09%","81,73%","81,73%",8.173.000.000,8.173.000.000,-,-,,0.5309,0.5309,0.8173,0.8173,8173000000.0,8173000000.0,,
4,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ > 4,4,Công ty TNHH Một thành viên Cơ khí Xây dựng Hòa Thọ,"64,96%","64,96%",100%,100%,2.000.000.000,2.000.000.000,-,-,,0.6496,0.6496,1.0,1.0,2000000000.0,2000000000.0,,
5,Công ty con của Tổng Công ty Cổ phần Đệt May Hòa Thọ > 5,5,Công ty Cổ phần Hòa Thọ Thăng Bình (i),"48,39%","33,13%","74,49%","51,00%",74.490.000.000,26.520.000.000,-,-,,0.4839,0.33130000000000004,0.7448999999999999,0.51,74490000000.0,26520000000.0,,
Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định,,,,,,,,,
6,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định > 6,6,Công ty Cổ phần Dịch vụ Thương mại Đệt Nam Định,"28,19%","28,19%","52,52%","52,52%",2.876.479.633,2.876.479.633,-,-,,0.28190000000000004,0.28190000000000004,0.5252,0.5252,2876479633.0,2876479633.0,,
7,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định > 7,7,Công ty TNHH Một thành viên Chăn Len – Đệt may Nam Định,"53,67%","53,67%",100%,100%,5.000.000.000,5.000.000.000,-,-,,0.5367000000000001,0.5367000000000001,1.0,1.0,5000000000.0,5000000000.0,,
8,Công ty con của Tổng Công ty Cổ phần Đệt May Nam Định > 8,8,Công ty Cổ phần May IV Đệt Nam Định,"28,69%","28,69%","53,46%","53,46%",4.009.500.000,4.009.500.000,-,-,,0.2869,0.2869,0.5346,0.5346,4009500000.0,4009500000.0,,
