row_label_raw,row_label_full,STT,Tên đơn vị,Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2019,Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2019,Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2019,Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2019,Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 31/12/2019,Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 1/1/2019,numeric__Tên đơn vị,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 31/12/2019,numeric__Tổng tỷ lệ sở hữu của Tập đoàn > 1/1/2019,numeric__Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo giá gốc khoản đầu tư VND > 31/12/2019,numeric__Giá trị đầu tư của Tập đoàn Đệt May Việt Nam theo giá gốc khoản đầu tư VND > 1/1/2019,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 31/12/2019,numeric__Giá trị đầu tư của các công ty khác trong Tập đoàn theo giá gốc khoản đầu tư VND > 1/1/2019
1,1,1,Công ty TNHH Một thành viên Đệt kim Đông Xuân,100%,100%,115.815.363.458,115.815.363.458,-,-,,1.0,1.0,115815363458.0,115815363458.0,,
2,2,2,Công ty TNHH Một thành viên Đệt kim Đông Phương,100%,100%,156.584.867.884,156.584.867.884,-,-,,1.0,1.0,156584867884.0,156584867884.0,,
3,3,3,Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,"80,74%","80,74%",24.852.076.451,24.852.076.451,17.282.879.453,17.282.879.453,,0.8073999999999999,0.8073999999999999,24852076451.0,24852076451.0,17282879453.0,17282879453.0
4,4,4,Công ty Cổ phần Sợi Phú Bài (i),"56,68%","66,51%",39.196.265.350,39.196.265.350,625.000.000,3.321.637.541,,0.5668,0.6651,39196265350.0,39196265350.0,625000000.0,3321637541.0
5,5,5,Công ty Cổ phần Phát Triển Hạ tầng Đệt May Phố Nói,"51,00%","51,00%",41.822.531.336,41.822.531.336,-,-,,0.51,0.51,41822531336.0,41822531336.0,,
6,6,6,Tổng Công ty Cổ phần Đệt May Hoà Thọ,"64,96%","64,96%",189.153.465.950,189.153.465.950,-,-,,0.6496,0.6496,189153465950.0,189153465950.0,,
,,,Công ty Cổ phần Len Việt Nam (ii),-,"68,77%",-,28.259.101.159,-,1.337.103.882,,,0.6877,,28259101159.0,,1337103882.0
7,7,7,Công ty Cổ phần Sản xuất Xuất nhập khẩu Đệt May,"68,34%","68,34%",23.107.500.000,23.107.500.000,-,-,,0.6834,0.6834,23107500000.0,23107500000.0,,
8,8,8,Công ty Cổ phần Đệt May Huế,"63,90%","63,90%",181.864.228.000,181.864.228.000,-,-,,0.639,0.639,181864228000.0,181864228000.0,,
9,9,9,Tổng Công ty Cổ phần Đệt May Nam Định,"53,67%","53,67%",81.555.023.813,81.555.023.813,-,-,,0.5367000000000001,0.5367000000000001,81555023813.0,81555023813.0,,
,,,Công ty Cổ phần Bông Việt Nam (ii),-,"55,00%",-,24.750.000.000,-,-,,,0.55,,24750000000.0,,
,,,Công ty Cổ phần Đầu tư Phát triển Vinatex (iii),-,51.06%,-,41.130.079.185,-,5.000.000.000,,,51.06,,41130079185.0,,5000000000.0
10,10,10,Tổng Công ty Cổ phần Phong Phú,"50,10%","50,10%",529.510.310.129,529.510.310.129,-,-,,0.501,0.501,529510310129.0,529510310129.0,,
11,11,11,Công ty TNHH Tổng Công ty Đệt May Miền Bắc - Vinatex,100%,100%,521.697.862.979,521.697.862.979,-,-,,1.0,1.0,521697862979.0,521697862979.0,,
12,12,12,Công ty TNHH Tổng Công ty Đệt May Miền Nam - Vinatex,100%,100%,191.301.358.205,191.301.358.205,-,-,,1.0,1.0,191301358205.0,191301358205.0,,
13,13,13,Công ty Cổ phần Vinatex Phú Hưng (iv),"59,74%",52%,33.800.000.000,13.000.000.000,-,-,,0.5974,0.52,33800000000.0,13000000000.0,,
