row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2019VND,1/1/2019VND,,
Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,62.592.362.801,-,62592362801.0,
Công ty TNHH Coats Phong Phú,Công ty TNHH Coats Phong Phú,Công ty TNHH Coats Phong Phú,52.016.834.147,51.230.741.233,52016834147.0,51230741233.0
Công ty Cổ phần Đệt may Liên Phương,Công ty Cổ phần Đệt may Liên Phương,Công ty Cổ phần Đệt may Liên Phương,27.395.165.300,39.316.412.046,27395165300.0,39316412046.0
Công ty Cổ phần Tổng Công ty May Đồng Nai,Công ty Cổ phần Tổng Công ty May Đồng Nai,Công ty Cổ phần Tổng Công ty May Đồng Nai,21.812.092.514,-,21812092514.0,
Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,5.308.001.975,-,5308001975.0,
Công ty Cổ phần Xúc tiến Thương mại và Đầu tưPhong Phú,Công ty Cổ phần Xúc tiến Thương mại và Đầu tưPhong Phú,Công ty Cổ phần Xúc tiến Thương mại và Đầu tưPhong Phú,1.892.851.344,-,1892851344.0,
Tổng Công Ty May Nhà Bè – CTCP,Tổng Công Ty May Nhà Bè – CTCP,Tổng Công Ty May Nhà Bè – CTCP,483.390.499,-,483390499.0,
Tổng Công ty Việt Thắng - CTCP,Tổng Công ty Việt Thắng - CTCP,Tổng Công ty Việt Thắng - CTCP,76.287.430,14.415.837.714,76287430.0,14415837714.0
Các công ty liên quan khác,Các công ty liên quan khác,Các công ty liên quan khác,846.423.001,123.789.399,846423001.0,123789399.0
,,,172.423.409.011,105.086.780.392,172423409011.0,105086780392.0
