row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác VND,Cổ phiếu quỹ VND,Chênh lệch đánh giá lại tài sản (i) VND,Chênh lệch tỷ giá hồi doài VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch đánh giá lại tài sản (i) VND,numeric__Chênh lệch tỷ giá hồi doài VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,12.938.780.810.000,3.003.630.250.509,990.113.907.720,(1.550.648.460.000),(1.317.118.937.352),(73.836.949.005),743.691.793.605,80.994.720.997,5.162.212.103.107,3.222.785.809.457,23.200.605.049.038,12938780810000.0,3003630250509.0,990113907720.0,-1550648460000.0,-1317118937352.0,-73836949005.0,743691793605.0,80994720997.0,5162212103107.0,3222785809457.0,23200605049038.0
Cổ phiếu quỹ hán ra trong năm,Cổ phiếu quỹ hán ra trong năm,Cổ phiếu quỹ hán ra trong năm,-,811.067.745.500,-,200.000.000.000,-,-,-,-,-,-,1.011.067.745.500,,811067745500.0,,200000000000.0,,,,,,,1011067745500.0
Các chỉ phí trực tiếp liên quan đến việc phát hành lại cổ phiếu quỹ,Các chỉ phí trực tiếp liên quan đến việc phát hành lại cổ phiếu quỹ,Các chỉ phí trực tiếp liên quan đến việc phát hành lại cổ phiếu quỹ,-,(1.664.309.589),-,-,-,-,-,-,-,-,(1.664.309.589),,-1664309589.0,,,,,,,,,-1664309589.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,3.468.269.610.133,443.393.090.327,3.911.662.700.460,,,,,,,,,3468269610133.0,443393090327.0,3911662700460.0
Đường thẳng dư vốn cổ phần tái cấu trắc công ty con (sở hữu 100% vên),Đường thẳng dư vốn cổ phần tái cấu trắc công ty con (sở hữu 100% vên),Đường thẳng dư vốn cổ phần tái cấu trắc công ty con (sở hữu 100% vên),-,(1.566.036.132.797),-,-,-,-,-,-,1.566.036.132.797,-,-,,-1566036132797.0,,,,,,,1566036132797.0,,
Chênh lệch tỷ giá hồi doài phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hồi doài phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hồi doài phát sinh do việc quy đổi các hoạt động ở nước ngoài,-,-,-,-,-,79.262.876.853,-,-,-,-,79.262.876.853,,,,,,79262876853.0,,,,,79262876853.0
Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),-,-,-,-,-,-,-,-,(3.736.013.869.640),(268.565.128.399),(4.004.578.998.039),,,,,,,,,-3736013869640.0,-268565128399.0,-4004578998039.0
Cổ phiếu thường,Cổ phiếu thường,Cổ phiếu thường,-,-,4.283.717.700,-,-,-,-,-,(4.283.717.700),-,-,,,4283717700.0,,,,,,-4283717700.0,,
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,-,-,206.492.694.929,1.252.002.338.768,(1.458.495.033.697),-,-,,,,,,,206492694929.0,1252002338768.0,-1458495033697.0,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(393.243.150.840),(45.509.258.595),(438.752.409.435),,,,,,,,,-393243150840.0,-45509258595.0,-438752409435.0
