row_label_raw,row_label_full,Thuế giá trị gia tăng đầu ra (*) > Thuế giá trị gia tăng hàng nhập khẩu,1/1/2018VND > (186.063.686.560) > 243.352.164.671,Số phát sinh trong năm VND > (3.230.352.966.000) > (8.064.599.716.707),Số đã nộp/được hoàn trả trong năm VND > 3.222.891.342.730 > 7.856.243.058.715,Biến động do thanh lý công ty con VND > 3.354.983.011 > 196.619.110,31/12/2018VND > (190.170.326.819) > 35.192.125.789,numeric__1/1/2018VND > (186.063.686.560) > 243.352.164.671,numeric__Số phát sinh trong năm VND > (3.230.352.966.000) > (8.064.599.716.707),numeric__Số đã nộp/được hoàn trả trong năm VND > 3.222.891.342.730 > 7.856.243.058.715,numeric__Biến động do thanh lý công ty con VND > 3.354.983.011 > 196.619.110,numeric__31/12/2018VND > (190.170.326.819) > 35.192.125.789
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,268.792.866.301,(2.899.997.349.082),3.035.297.470.120,(79.973.654),404.013.013.685,268792866301.0,-2899997349082.0,3035297470120.0,-79973654.0,404013013685.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,2.324.416.182.152,(2.572.325.823.965),972.079.370.369,883.926.121,725.053.654.677,2324416182152.0,-2572325823965.0,972079370369.0,883926121.0,725053654677.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(206.404.582.261),(983.536.798.148),967.768.822.649,(548.505.598),(222.721.063.358),-206404582261.0,-983536798148.0,967768822649.0,-548505598.0,-222721063358.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,(15.250.332.664),(100.991.699.072),98.344.975.350,733.273.666,(17.163.782.720),-15250332664.0,-100991699072.0,98344975350.0,733273666.0,-17163782720.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,(65.468.428.717),(278.509.849.983),317.676.528.062,(1.999.885.416),(28.301.636.054),-65468428717.0,-278509849983.0,317676528062.0,-1999885416.0,-28301636054.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,(1.168.020.251.418),(20.708.973.396.397),20.609.387.493.612,-,(1.267.606.154.203),-1168020251418.0,-20708973396397.0,20609387493612.0,,-1267606154203.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,(15.493.630.545),(262.341.834.815),277.908.184.845,(135.991),72.583.494,-15493630545.0,-262341834815.0,277908184845.0,-135991.0,72583494.0
,,,1.179.860.300.959,(39.101.629.434.169),37.357.597.246.452,2.540.301.249,(561.631.585.509),1179860300959.0,-39101629434169.0,37357597246452.0,2540301249.0,-561631585509.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Thuế và các khoản khác phải thu Nhà nước,Trong đó: > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,2.910.198.024.758,,,,1.324.555.775.906,2910198024758.0,,,,1324555775906.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,(1.730.337.723.799),,,,(1.886.187.361.415),-1730337723799.0,,,,-1886187361415.0
,,,1.179.860.300.959,,,,(561.631.585.509),1179860300959.0,,,,-561631585509.0
