row_label_raw,row_label_full,col_0,Khối xăng dầu thành viên,Các công ty con không thuộc khối xăng dầu thành viên,Kinh doanh các sản phẩm hóa dầu,Kinh doanh các sản phẩm gas,Kinh doanh dịch vụ bảo hiểm,Kinh doanh dịch vụ vận tải,"Kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Khối xăng dầu thành viên,numeric__Các công ty con không thuộc khối xăng dầu thành viên,numeric__Kinh doanh các sản phẩm hóa dầu,numeric__Kinh doanh các sản phẩm gas,numeric__Kinh doanh dịch vụ bảo hiểm,numeric__Kinh doanh dịch vụ vận tải,"numeric__Kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
Tài sản đó dang dài hạn,Tài sản > Tài sản đó dang dài hạn,Tài sản đó dang dài hạn,337.205.406.862,103.472.438.164,162.641.748.723,1.899.285.450,-,246.780.465.314,23.014.065.744,-,875.013.410.257,337205406862.0,103472438164.0,162641748723.0,1899285450.0,,246780465314.0,23014065744.0,,875013410257.0
Dầu tư tài chính dài hạn,Tài sản > Dầu tư tài chính dài hạn,Dầu tư tài chính dài hạn,6.664.642.763.371,10.000.000.000,43.534.152.089,-,-,65.883.521.112,13.746.247.789,(3.682.085.603.401),3.115.721.080.960,6664642763371.0,10000000000.0,43534152089.0,,,65883521112.0,13746247789.0,-3682085603401.0,3115721080960.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,1.592.648.832.406,115.972.186.511,166.941.510.806,322.042.079.409,-,59.788.120.311,3.789.447.257,-,2.261.182.176.700,1592648832406.0,115972186511.0,166941510806.0,322042079409.0,,59788120311.0,3789447257.0,,2261182176700.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,39.762.035.292.895,7.265.356.148.727,4.854.243.519.694,1.998.559.015.285,-,6.641.103.149.634,1.788.273.088.823,(6.138.387.099.375),56.171.183.115.683,39762035292895.0,7265356148727.0,4854243519694.0,1998559015285.0,,6641103149634.0,1788273088823.0,-6138387099375.0,56171183115683.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,21.034.730.475.122,5.686.749.369.595,3.441.161.911.141,1.012.164.485.688,-,1.263.253.241.590,1.046.851.252.848,(1.909.385.362.075),31.575.525.373.909,21034730475122.0,5686749369595.0,3441161911141.0,1012164485688.0,,1263253241590.0,1046851252848.0,-1909385362075.0,31575525373909.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,155.728.854.346,26.068.014.480,88.354.158.642,133.897.280.285,-,1.416.474.168.748,8.049.036.364,(217.196.813.840),1.611.374.699.025,155728854346.0,26068014480.0,88354158642.0,133897280285.0,,1416474168748.0,8049036364.0,-217196813840.0,1611374699025.0
,,,,,,,-,,,,,,,,,,,,,
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,21.190.459.329.468,5.712.817.384.075,3.529.516.069.783,1.146.061.765.973,-,2.679.727.410.338,1.054.900.289.212,(2.126.582.175.915),33.186.900.072.934,21190459329468.0,5712817384075.0,3529516069783.0,1146061765973.0,,2679727410338.0,1054900289212.0,-2126582175915.0,33186900072934.0
Chi tiêu vốn,Nợ phải trả > Chi tiêu vốn,Chi tiêu vốn,1.593.386.422.757,137.784.705.197,239.959.590.245,24.436.840.754,-,636.424.878.075,46.478.617.734,(164.617.476.933),2.513.853.577.829,1593386422757.0,137784705197.0,239959590245.0,24436840754.0,,636424878075.0,46478617734.0,-164617476933.0,2513853577829.0
Khẩu hao tài sản cố định hữu hình,Nợ phải trả > Khẩu hao tài sản cố định hữu hình,Khẩu hao tài sản cố định hữu hình,833.112.462.185,90.205.023.944,61.329.800.874,59.845.341.794,-,740.841.750.758,138.800.932.594,(16.855.395.011),1.907.279.917.138,833112462185.0,90205023944.0,61329800874.0,59845341794.0,,740841750758.0,138800932594.0,-16855395011.0,1907279917138.0
Khẩu hao tài sản cố định vô hình,Nợ phải trả > Khẩu hao tài sản cố định vô hình,Khẩu hao tài sản cố định vô hình,82.822.262.559,2.618.185.542,577.714.950,136.044.503,-,1.519.550.714,687.251.946,-,88.361.010.214,82822262559.0,2618185542.0,577714950.0,136044503.0,,1519550714.0,687251946.0,,88361010214.0
Khẩu hao bất động sản đầu tư,Nợ phải trả > Khẩu hao bất động sản đầu tư,Khẩu hao bất động sản đầu tư,856.397.729,-,-,182.593.332,-,6.406.286.756,613.034.052,-,8.058.311.869,856397729.0,,,182593332.0,,6406286756.0,613034052.0,,8058311869.0
