row_label_raw,row_label_full,col_0,Giá trị ghi sổ tại ngày thoái vốn VND,numeric__Giá trị ghi sổ tại ngày thoái vốn VND
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,185.321.053.315,185321053315.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,3.671.257.914,3671257914.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,428.468.754.002,428468754002.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,415.041.830.591,415041830591.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,59.394.690.880,59394690880.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,1.080.000.000,1080000000.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,226.625.486.046,226625486046.0
Nguyên giá,Tài sản > Nguyên giá,Nguyên giá,457.473.001.017,457473001017.0
Giá trị hao mòn lũy kế,Tài sản > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,(230.847.514.971),-230847514971.0
Tài sản cố định vô hình,Tài sản > Tài sản cố định vô hình,Tài sản cố định vô hình,28.195.145.403,28195145403.0
Nguyên giá,Tài sản > Nguyên giá,Nguyên giá,36.844.556.516,36844556516.0
Giá trị hao mòn lũy kế,Tài sản > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,(8.649.411.113),-8649411113.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,3.239.901.894,3239901894.0
Nguyên giá,Tài sản > Nguyên giá,Nguyên giá,7.331.842.478,7331842478.0
Giá trị hao mòn lũy kế,Tài sản > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,(4.091.940.584),-4091940584.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,72.148.498.979,72148498979.0
Các khoản đầu tư tài chính dài hạn,Tài sản > Các khoản đầu tư tài chính dài hạn,Các khoản đầu tư tài chính dài hạn,123.523.524.650,123523524650.0
Chi phí trả trước dài hạn,Tài sản > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,58.971.164.420,58971164420.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,90.933.696,90933696.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,(897.223.517.214),-897223517214.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,(37.349.657.494),-37349657494.0
Giá trị ghi sổ của tài sản thuần,Nợ phải trả > Giá trị ghi sổ của tài sản thuần,Giá trị ghi sổ của tài sản thuần,671.199.067.082,671199067082.0
