row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ,Hoạt động chính,31/12/2018 > Tỷ lệ biểu quyết,31/12/2018 > Tỷ lệ sở hữu,31/12/2018 > Giá trị đầu tư theo phương pháp vốn chủ VND,31/12/2018 > Dự phòng VND,31/12/2018 > Giá trị hợp lý VND,31/12/2018 > Tỷ lệ biểu quyết_1,1/1/2018 > Tỷ lệ sở hữu,1/1/2018 > Giá trị đầu tư theo phương pháp vốn chủ VND,1/1/2018 > Dự phòng VND,1/1/2018 > Giá trị hợp lý VND,numeric__Tên công ty,numeric__Địa chỉ,numeric__Hoạt động chính,numeric__31/12/2018 > Tỷ lệ biểu quyết,numeric__31/12/2018 > Tỷ lệ sở hữu,numeric__31/12/2018 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__31/12/2018 > Dự phòng VND,numeric__31/12/2018 > Giá trị hợp lý VND,numeric__31/12/2018 > Tỷ lệ biểu quyết_1,numeric__1/1/2018 > Tỷ lệ sở hữu,numeric__1/1/2018 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__1/1/2018 > Dự phòng VND,numeric__1/1/2018 > Giá trị hợp lý VND
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP Hồ Chí Minh,Chế biến các sản phẩm dầu nhơn,35.00%,35.00%,396.364.711.746,-,(*),35.00%,35.00%,274.448.634.715,-,(*),,,,35.0,35.0,396364711746.0,,,35.0,35.0,274448634715.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Ngân hàng Thương mại Cổ phần Xăng dầu Petrolimex (i),Hà Nội,Kinh doanh dịch vụ ngăn hàng,40.00%,40.00%,1.475.343.544.182,-,(*),40.00%,40.00%,1.423.938.546.859,-,(*),,,,40.0,40.0,1475343544182.0,,,40.0,40.0,1423938546859.0,,
2,Công ty liên kết > 2,2,Tổng Công ty Cổ phần Bảo hiểm Petrolimex (i),Hà Nội,Kinh doanh bảo hiểm,40.95%,40.95%,610.045.717.388,-,657.542.592.000,40.95%,40.95%,601.084.773.323,-,965.969.137.532,,,,40.95,40.95,610045717388.0,,657542592000.0,40.95,40.95,601084773323.0,,965969137532.0
3,Công ty liên kết > 3,3,Công ty CP Du lịch Thương mại Kiên Giang,Kiên Giang,"Nông sản, xăng dầu",38.94%,38.94%,168.575.489.297,-,(*),38.94%,38.94%,144.544.689.844,-,(*),,,,38.94,38.94,168575489297.0,,,38.94,38.94,144544689844.0,,
4,Công ty liên kết > 4,4,Công ty CP Tổng Công ty Xây lắp và Thương mại Petrolimex,Hà Nội,Kinh doanh thương mại,35.00%,35.00%,145.884.559.733,-,(*),-,-,-,-,-,,,,35.0,35.0,145884559733.0,,,,,,,
5,Công ty liên kết > 5,5,Công ty CP Phát triển nhà Petrolimex – Tradoco,Vũng Tàu,Kinh doanh bất động sản,46.00%,46.00%,93.596.193.484,-,(*),37.00%,37.00%,92.436.154.529,-,(*),,,,46.0,46.0,93596193484.0,,,37.0,37.0,92436154529.0,,
6,Công ty liên kết > 6,6,Công ty CP Dịch vụ Đường cao tốc Việt Nam,Hà Nội,"Đầu tư, xây dựng, khai thác, quản lý và bảo trì hệ thống đường cao tốc quốc gia",22.38%,22.38%,21.313.651.354,-,(*),22.38%,22.38%,21.646.629.028,-,(*),,,,22.38,22.38,21313651354.0,,,22.38,22.38,21646629028.0,,
7,Công ty liên kết > 7,7,Công ty CP Vườn Mê Kông (ii),Tiền Giang,Mua bán hàng hóa,40.00%,40.00%,10.500.000.000,(503.752.212),(*),40.00%,40.00%,11.220.000.000,(539.237.357),(*),,,,40.0,40.0,10500000000.0,-503752212.0,,40.0,40.0,11220000000.0,-539237357.0,
8,Công ty liên kết > 8,8,Công ty CP Vật liệu Xây dựng và Chất đốt Đông Nai,Đồng Nai,Kinh doanh xăng dầu,21.32%,21.32%,11.979.816.214,-,(*),21.32%,21.32%,8.014.100.107,-,(*),,,,21.32,21.32,11979816214.0,,,21.32,21.32,8014100107.0,,
9,Công ty liên kết > 9,9,Công ty TNHH Bất động sản Tribeca Avenue,Khánh Hòa,Kinh doanh bất động sản,-,-,-,-,-,26.00%,26.00%,5.200.000.000,-,(*),,,,,,,,,26.0,26.0,5200000000.0,,
10,Công ty liên kết > 10,10,Công ty CP Thương mại Tuyên Quang,Tuyên Quang,Kinh doanh thương mại,27.73%,27.73%,2.023.978.424,-,(*),27.73%,27.73%,1.892.671.550,-,(*),,,,27.73,27.73,2023978424.0,,,27.73,27.73,1892671550.0,,
