row_label_raw,row_label_full,col_0,Khối xăng dầu thành viên,Các công ty con không thuộc khối xăng dầu,Kinh doanh các sản phẩm hóa dầu,Kinh doanh các sản phẩm gas,Kinh doanh dịch vụ bảo hiểm,Kinh doanh dịch vụ vận tải,"Kinh doanh hàng hóa, dịch vụ khác",Loại trừ nội bộ và điều chỉnh hợp nhất,Tổng cộng,numeric__Khối xăng dầu thành viên,numeric__Các công ty con không thuộc khối xăng dầu,numeric__Kinh doanh các sản phẩm hóa dầu,numeric__Kinh doanh các sản phẩm gas,numeric__Kinh doanh dịch vụ bảo hiểm,numeric__Kinh doanh dịch vụ vận tải,"numeric__Kinh doanh hàng hóa, dịch vụ khác",numeric__Loại trừ nội bộ và điều chỉnh hợp nhất,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,
Tổng doanh thu thuần,Tổng doanh thu thuần,Tổng doanh thu thuần,144.370.241.278.283,60.595.804.340.889,6.433.978.265.807,3.261.119.630.508,-,8.918.147.225.689,2.496.779.272.041,(34.143.992.107.957),191.932.077.905.260,144370241278283.0,60595804340889.0,6433978265807.0,3261119630508.0,,8918147225689.0,2496779272041.0,-34143992107957.0,191932077905260.0
Trong đó: Doanh thu nội bộ,Trong đó: Doanh thu nội bộ,Trong đó: Doanh thu nội bộ,8.729.974.752.758,19.116.139.694.680,1.304.969.404.046,922.735.814.432,-,3.613.043.533.267,457.128.908.774,(34.143.992.107.957),-,8729974752758.0,19116139694680.0,1304969404046.0,922735814432.0,,3613043533267.0,457128908774.0,-34143992107957.0,
Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,Doanh thu thuần bán ra bên ngoài,135.640.266.525.525,41.479.664.646.209,5.129.008.861.761,2.338.383.816.076,-,5.305.103.692.422,2.039.650.363.267,-,191.932.077.905.260,135640266525525.0,41479664646209.0,5129008861761.0,2338383816076.0,,5305103692422.0,2039650363267.0,,191932077905260.0
Chi phí kinh doanh,Chi phí kinh doanh,Chi phí kinh doanh,(141.540.348.109.038),(59.938.284.201.145),(6.148.318.457.871),(3.080.371.811.231),-,(8.553.260.118.244),(2.222.884.254.575),34.307.249.568.603,(187.176.217.383.501),-141540348109038.0,-59938284201145.0,-6148318457871.0,-3080371811231.0,,-8553260118244.0,-2222884254575.0,34307249568603.0,-187176217383501.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(133.539.541.470.922),(58.933.147.471.090),(5.562.567.838.945),(2.630.462.667.111),-,(8.094.396.049.145),(2.054.518.291.897),32.773.280.307.197,(178.041.353.481.913),-133539541470922.0,-58933147471090.0,-5562567838945.0,-2630462667111.0,,-8094396049145.0,-2054518291897.0,32773280307197.0,-178041353481913.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(8.000.806.638.116),(991.194.499.925),(489.928.882.606),(351.064.313.971),-,(158.808.375.181),(101.937.032.732),1.533.969.261.406,(8.559.770.481.125),-8000806638116.0,-991194499925.0,-489928882606.0,-351064313971.0,,-158808375181.0,-101937032732.0,1533969261406.0,-8559770481125.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,-,(13.942.230.130),(95.821.736.320),(98.844.830.149),-,(300.055.693.918),(66.428.929.946),-,(575.093.420.463),,-13942230130.0,-95821736320.0,-98844830149.0,,-300055693918.0,-66428929946.0,,-575093420463.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,2.829.893.169.245,657.520.139.744,285.659.807.936,180.747.819.277,-,364.887.107.445,273.895.017.466,163.257.460.646,4.755.860.521.759,2829893169245.0,657520139744.0,285659807936.0,180747819277.0,,364887107445.0,273895017466.0,163257460646.0,4755860521759.0
"Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết","Phần lãi trong công ty liên doanh, liên kết",,,,,,,,,635.383.483.159,,,,,,,,,635383483159.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,994.256.425.636,,,,,,,,,994256425636.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,(1.508.034.550.907),,,,,,,,,-1508034550907.0
Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,Kết quả từ các hoạt động khác,,,,,,,,,165.093.897.516,,,,,,,,,165093897516.0
Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,,,,,,5.042.559.777.163,,,,,,,,,5042559777163.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,,(983.535.549.148),,,,,,,,,-983535549148.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,,(10.939.924.429),,,,,,,,,-10939924429.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,4.048.084.303.586,,,,,,,,,4048084303586.0
