row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Bản quyềnphần mềmVND,Phần mềmmáy vi tínhVND,Tài sâncố định khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Bản quyềnphần mềmVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sâncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.970.162.332.980,12.318.432.200,477.519.721.876,28.000.102.266,2.488.000.589.322,1970162332980.0,12318432200.0,477519721876.0,28000102266.0,2488000589322.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,63.210.836.001,-,32.339.505.587,299.133.000,95.849.474.588,63210836001.0,,32339505587.0,299133000.0,95849474588.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,92.162.923.343,-,20.313.436.909,29.133.000,112.505.493.252,92162923343.0,,20313436909.0,29133000.0,112505493252.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(2.059.969.899),-,-,-,(2.059.969.899),-2059969899.0,,,,-2059969899.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(2.839.044.000),-,(910.753.000),(1.944.232.133),(5.694.029.133),-2839044000.0,,-910753000.0,-1944232133.0,-5694029133.0
Giảm do thanh lý công ty con,Nguyên giá > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(27.451.613.327),-,(3.905.722.100),(5.487.221.089),(36.844.556.516),-27451613327.0,,-3905722100.0,-5487221089.0,-36844556516.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,,7.703.738.200,(7.856.743.200),153.005.000,-,,7703738200.0,-7856743200.0,153005000.0,
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(352.536.072),-,(89.550.000),1.734.000.000,1.291.913.928,-352536072.0,,-89550000.0,1734000000.0,1291913928.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.092.832.929.026,20.022.170.400,517.409.896.072,22.783.920.044,2.653.048.915.542,2092832929026.0,20022170400.0,517409896072.0,22783920044.0,2653048915542.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,151.954.702.065,6.637.278.814,366.180.188.165,18.179.397.146,542.951.566.190,151954702065.0,6637278814.0,366180188165.0,18179397146.0,542951566190.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,21.731.808.219,2.343.942.939,63.060.717.720,1.224.541.336,88.361.010.214,21731808219.0,2343942939.0,63060717720.0,1224541336.0,88361010214.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(309.516.391),-,-,-,(309.516.391),-309516391.0,,,,-309516391.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,-,-,(726.729.292),(1.942.457.361),(2.669.186.653),,,-726729292.0,-1942457361.0,-2669186653.0
Giảm do thanh lý công ty con,Giá trị hao mòn lũy kế > Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,(1.882.876.412),-,(1.644.370.318),(5.122.164.383),(8.649.411.113),-1882876412.0,,-1644370318.0,-5122164383.0,-8649411113.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,5.554.844.307,(5.619.530.088),64.685.781,-,,5554844307.0,-5619530088.0,64685781.0,
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,-,-,-,244.430.556,244.430.556,,,,244430556.0,244430556.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,171.494.117.481,14.536.066.060,421.250.276.187,12.648.433.075,619.928.892.803,171494117481.0,14536066060.0,421250276187.0,12648433075.0,619928892803.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.818.207.630.915,5.681.153.386,111.339.533.711,9.820.705.120,1.945.049.023.132,1818207630915.0,5681153386.0,111339533711.0,9820705120.0,1945049023132.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.921.338.811.545,5.486.104.340,96.159.619.885,10.135.486.969,2.033.120.022.739,1921338811545.0,5486104340.0,96159619885.0,10135486969.0,2033120022739.0
