row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,12.351.055,12.232.801,12351055.0,12232801.0
Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,Thu từ dịch vụ thanh toán và ngân quỹ,4.385.529,4.308.911,4385529.0,4308911.0
"Thu từ dịch vụ tư vấn, ủy thác và đại lý","Thu từ dịch vụ tư vấn, ủy thác và đại lý","Thu từ dịch vụ tư vấn, ủy thác và đại lý",965.390,961.413,965390.0,961413.0
Thu từ dịch vụ bảo hiểm,Thu từ dịch vụ bảo hiểm,Thu từ dịch vụ bảo hiểm,3.966.517,3.373.007,3966517.0,3373007.0
Thu từ dịch vụ khác,Thu từ dịch vụ khác,Thu từ dịch vụ khác,3.033.619,3.589.470,3033619.0,3589470.0
Chi phi hoạt động dịch vụ,Chi phi hoạt động dịch vụ,Chi phi hoạt động dịch vụ,(6.022.104),(5.536.813),-6022104.0,-5536813.0
Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,Chi về dịch vụ thanh toán và ngân quỹ,(2.945.091),(3.096.956),-2945091.0,-3096956.0
"Chi về dịch vụ tư vấn, ủy thác và đại lý","Chi về dịch vụ tư vấn, ủy thác và đại lý","Chi về dịch vụ tư vấn, ủy thác và đại lý",(309.758),(195.158),-309758.0,-195158.0
Chi về dịch vụ bảo hiểm,Chi về dịch vụ bảo hiểm,Chi về dịch vụ bảo hiểm,(1.961.041),(1.433.124),-1961041.0,-1433124.0
Chi về dịch vụ khác,Chi về dịch vụ khác,Chi về dịch vụ khác,(806.214),(811.575),-806214.0,-811575.0
Lãi thuần,Lãi thuần,Lãi thuần,6.328.951,6.695.988,6328951.0,6695988.0
