row_label_raw,row_label_full,STT,Chỉ tiêu,Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Miền BắcTriệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Miền NamTriệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > KhácTriệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Điều chínhTriệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Tổng cộngTriệu đồng,numeric__Chỉ tiêu,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Miền BắcTriệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Miền NamTriệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > KhácTriệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Điều chínhTriệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2025 > Tổng cộngTriệu đồng
I.,I.,I.,Kết quả kinh doanhbộ phận trước thuế,24.425.848,12.979.465,5.735.170,303.326,43.443.809,,24425848.0,12979465.0,5735170.0,303326.0,43443809.0
I.,I.,I.,Chi phí thuế TNDNhiện hành,(6.536.135),-,(32.473),-,(6.568.608),,-6536135.0,,-32473.0,,-6568608.0
I.,I.,I.,Chi phí thuế TNDNhoãn lại,(3.935),-,-,-,(3.935),,-3935.0,,,,-3935.0
II.,II.,II.,Kết quả kinh doanhbộ phận sau thuế,15.885.778,12.979.465,5.702.697,303.326,34.871.266,,15885778.0,12979465.0,5702697.0,303326.0,34871266.0
III.,III.,III.,Tài sản bộ phận,1.802.387.498,699.765.098,274.102.058,(8.555.354),2.767.699.300,,1802387498.0,699765098.0,274102058.0,-8555354.0,2767699300.0
IV.,IV.,IV.,Nợ phải trả bộ phận,1.641.258.028,686.785.633,266.814.453,(6.813.819),2.588.044.295,,1641258028.0,686785633.0,266814453.0,-6813819.0,2588044295.0
,,,,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,,,
STT,STT,STT,Chỉ tiêu,Miền BắcTriệu VND,Miền NamTriệu VND,KhácTriệu VND,Điều chínhTriệu VND,Tổng cộngTriệu VND,,,,,,
I.,STT > I.,I.,Kết quả kinh doanhbộ phận trước thuế,13.079.675,12.953.682,5.422.109,308.459,31.763.925,,13079675.0,12953682.0,5422109.0,308459.0,31763925.0
I.,STT > I.,I.,Chi phí thuế TNDNhiện hành,(6.248.699),(13.627),(23.572),-,(6.285.898),,-6248699.0,-13627.0,-23572.0,,-6285898.0
I.,STT > I.,I.,Chi phí thuế TNDNhoãn lại,4.540,-,-,-,4.540,,4540.0,,,,4540.0
II.,STT > II.,II.,Kết quả kinh doanhbộ phận sau thuế,6.835.516,12.940.055,5.398.537,308.459,25.482.567,,6835516.0,12940055.0,5398537.0,308459.0,25482567.0
III.,STT > III.,III.,Tài sản bộ phận,1.497.983.716,654.673.282,240.300.240,(7.569.506),2.385.387.732,,1497983716.0,654673282.0,240300240.0,-7569506.0,2385387732.0
IV.,STT > IV.,IV.,Nợ phải trả bộ phận,1.367.019.848,641.600.790,233.603.412,(5.341.026),2.236.883.024,,1367019848.0,641600790.0,233603412.0,-5341026.0,2236883024.0
