row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng","Máy móc, thiết bịTriệu đồng",Phương tiện vận tảivà thiết bịtruyền dẫnTriệu đồng,Thiết bị dụng cụquản lý và TSCĐhửu hình khácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng","numeric__Máy móc, thiết bịTriệu đồng",numeric__Phương tiện vận tảivà thiết bịtruyền dẫnTriệu đồng,numeric__Thiết bị dụng cụquản lý và TSCĐhửu hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,8.546.523,6.139.418,2.078.284,489.345,17.253.570,8546523.0,6139418.0,2078284.0,489345.0,17253570.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,22.534,876.596,136.855,102.752,1.138.737,22534.0,876596.0,136855.0,102752.0,1138737.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,295.586,44.827,11.938,35.441,387.792,295586.0,44827.0,11938.0,35441.0,387792.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,8.796,-,(8.796),-,,8796.0,,-8796.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.238),(143.539),(107.852),(6.082),(268.711),-11238.0,-143539.0,-107852.0,-6082.0,-268711.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,4.615,(4.350),(46),(698),(479),4615.0,-4350.0,-46.0,-698.0,-479.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,8.858.020,6.921.748,2.119.179,611.962,18.510.909,8858020.0,6921748.0,2119179.0,611962.0,18510909.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(3.712.033),(5.382.965),(1.606.408),(402.948),(11.104.354),-3712033.0,-5382965.0,-1606408.0,-402948.0,-11104354.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(300.976),(414.952),(154.233),(67.976),(938.137),-300976.0,-414952.0,-154233.0,-67976.0,-938137.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(4.667),-,4.667,-,,-4667.0,,4667.0,
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",8.545,142.122,107.853,5.412,263.932,8545.0,142122.0,107853.0,5412.0,263932.0
(Tăng)/giảm khác,Giá trị hao mòn lũy kế > (Tăng)/giảm khác,(Tăng)/giảm khác,(3.395),(172),(106),340,(3.333),-3395.0,-172.0,-106.0,340.0,-3333.0
Tại ngày 31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(4.007.859),(5.660.634),(1.652.894),(460.505),(11.781.892),-4007859.0,-5660634.0,-1652894.0,-460505.0,-11781892.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,4.834.490,756.453,471.876,86.397,6.149.216,4834490.0,756453.0,471876.0,86397.0,6149216.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,4.850.161,1.261.114,466.285,151.457,6.729.017,4850161.0,1261114.0,466285.0,151457.0,6729017.0
