row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2025Triệu đồng,Tại ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2025Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2024Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,"Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam (""NHNN"")",14,144.592.357,154.284.104,,14.0,144592357.0,154284104.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,141.627.156,154.284.104,,,141627156.0,154284104.0
2,B > 2,2,Giao dịch bán và mua lại trái phiếu Chính phủ với Kho bạc Nhà nước,,2.965.201,-,,,2965201.0,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,,417.724.115,276.141.255,,,417724115.0,276141255.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,15.1,399.558.557,253.519.627,,151.0,399558557.0,253519627.0
2,B > 2,2,Vay các tổ chức tín dụng khác,15.2,18.165.558,22.621.628,,152.0,18165558.0,22621628.0
III,B > III,III,Tiền gửi của khách hàng,16,1.793.732.057,1.606.316.685,,16.0,1793732057.0,1606316685.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,7,-,390.841,,7.0,,390841.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",17,2.113.898,2.179.950,,17.0,2113898.0,2179950.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,174.030.352,151.678.090,,18.0,174030352.0,151678090.0
VII,B > VII,VII,Các khoản nợ khác,,55.851.516,45.892.099,,,55851516.0,45892099.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,26.660.549,21.026.493,,,26660549.0,21026493.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,26.345.997,22.102.187,,19.0,26345997.0,22102187.0
4,B > 4,4,Dự phòng rủi ro khác,,2.844.970,2.763.419,,,2844970.0,2763419.0
,,,TỔNG NỘ PHẢI TRẢ,,2.588.044.295,2.236.883.024,,,2588044295.0,2236883024.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,20,179.655.005,148.504.708,,20.0,179655005.0,148504708.0
1,B > 1,1,Vốn của tổ chức tín dụng,,88.218.675,63.583.999,,,88218675.0,63583999.0
a,B > a,a,Vốn điều lệ,,77.669.446,53.699.917,,,77669446.0,53699917.0
b,B > b,b,Thặng dư vốn cổ phần,,8.974.666,8.974.677,,,8974666.0,8974677.0
g,B > g,g,Vốn khác,,1.574.563,909.405,,,1574563.0,909405.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,31.654.355,25.316.757,,,31654355.0,25316757.0
3,B > 3,3,Chênh lệch tỷ giá hối đoái,,362.748,243.105,,,362748.0,243105.0
5,B > 5,5,Lợi nhuận chưa phân phối,,58.212.794,58.390.118,,,58212794.0,58390118.0
6,B > 6,6,Lợi ích của cổ đông không kiểm soát,,1.206.433,970.729,,,1206433.0,970729.0
,,,TỔNG VỐN,,179.655.005,148.504.708,,,179655005.0,148504708.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,2.767.699.300,2.385.387.732,,,2767699300.0,2385387732.0
