row_label_raw,row_label_full,col_0,31.12.2025,31.12.2025_1,31.12.2025_2,31.12.2025_3,31.12.2025_4,numeric__31.12.2025,numeric__31.12.2025_1,numeric__31.12.2025_2,numeric__31.12.2025_3,numeric__31.12.2025_4
,,,Kỳ phiếuTriệu đồng,Trải phiếuvô danhTriệu đồng,Trải phiếughị sởTriệu đồng,Chứng chitiền gửiTriệu đồng,Tổng cộngTriệu đồng,,,,,
Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,153,-,-,111.067.679,111.067.832,153.0,,,111067679.0,111067832.0
Mệnh giá,Mệnh giá,Mệnh giá,153,-,-,111.067.679,111.067.832,153.0,,,111067679.0,111067832.0
- Bằng VND,- Bằng VND,- Bằng VND,153,-,-,111.067.679,111.067.832,153.0,,,111067679.0,111067832.0
Từ 12 tháng đếndưới 5 năm,Từ 12 tháng đếndưới 5 năm,Từ 12 tháng đếndưới 5 năm,-,166,-,9.462.714,9.462.880,,166.0,,9462714.0,9462880.0
Mệnh giá,Mệnh giá,Mệnh giá,-,166,-,9.462.714,9.462.880,,166.0,,9462714.0,9462880.0
- Bằng VND,- Bằng VND,- Bằng VND,-,166,-,9.462.667,9.462.833,,166.0,,9462667.0,9462833.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,-,-,-,47,47,,,,47.0,47.0
Từ 5 năm trở lên,Từ 5 năm trở lên,Từ 5 năm trở lên,-,-,53.499.640,-,53.499.640,,,53499640.0,,53499640.0
Mệnh giá,Mệnh giá,Mệnh giá,-,-,53.499.570,-,53.499.570,,,53499570.0,,53499570.0
- Bằng VND,- Bằng VND,- Bằng VND,-,-,53.499.570,-,53.499.570,,,53499570.0,,53499570.0
Phụ trội,Phụ trội,Phụ trội,-,-,70,-,70,,,70.0,,70.0
,,,153,166,53.499.640,120.530.393,174.030.352,153.0,166.0,53499640.0,120530393.0,174030352.0
