row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Quả hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 thángđến 3 tháng,Từ trên3 thángđến 6 tháng,Từ trên6 thángđến 12 tháng,Từ trên1 nămđến 5 năm,Trên 5 năm,Tổng cộng,numeric__Quả hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 thángđến 3 tháng,numeric__Từ trên3 thángđến 6 tháng,numeric__Từ trên6 thángđến 12 tháng,numeric__Từ trên1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỳ","Tải sản > Tiền mặt, vàng bạc, đá quỳ","Tiền mặt, vàng bạc, đá quỳ",-,12.583.484,-,-,-,-,-,-,12.583.484,,12583484.0,,,,,,,12583484.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,35.225.543,-,-,-,-,-,-,35.225.543,,35225543.0,,,,,,,35225543.0
Tiền gửi và cho vay các TCTD khác (*),Tải sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,413.546.674,24.050.800,27.428.257,11.461.799,-,-,476.487.530,,,413546674.0,24050800.0,27428257.0,11461799.0,,,476487530.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,3.044.151,-,-,-,-,-,3.044.151,,,3044151.0,,,,,,3044151.0
Các công cu tài chính phải sinh và cáctài sản tài chính khác,Tải sản > Các công cu tài chính phải sinh và cáctài sản tài chính khác,Các công cu tài chính phải sinh và cáctài sản tài chính khác,-,-,228.448,-,-,-,-,-,228.448,,,228448.0,,,,,,228448.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),39.262.107,207.796,502.405.404,526.806.757,575.742.160,237.341.645,109.139.387,1.367.612,1.992.272.368,39262107.0,207796.0,502405404.0,526806757.0,575742160.0,237341645.0,109139387.0,1367612.0,1992272368.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),498.678,2.879.740,11.727.781,22.066.504,31.883.316,21.419.699,45.695.143,76.241.168,212.412.029,498678.0,2879740.0,11727781.0,22066504.0,31883316.0,21419699.0,45695143.0,76241168.0,212412029.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,4.428.296,-,-,-,-,-,-,4.428.296,,4428296.0,,,,,,,4428296.0
TSCD,Tải sản > TSCD,TSCD,-,10.826.743,-,-,-,-,-,-,10.826.743,,10826743.0,,,,,,,10826743.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),108.723,55.633.932,-,-,-,-,-,-,55.742.555,108723.0,55633932.0,,,,,,,55742555.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,39.869.508,121.785.534,930.952.458,572.924.061,635.053.733,270.223.143,154.834.530,77.608.780,2.803.251.747,39869508.0,121785534.0,930952458.0,572924061.0,635053733.0,270223143.0,154834530.0,77608780.0,2803251747.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,108.497.420,35.795.381,-,299.556,-,-,144.592.357,,,108497420.0,35795381.0,,299556.0,,,144592357.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,407.808.208,9.540.267,375.640,-,-,-,417.724.115,,,407808208.0,9540267.0,375640.0,,,,417724115.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,792.235.742,322.163.379,309.615.237,301.413.755,68.182.532,121.412,1.793.732.057,,,792235742.0,322163379.0,309615237.0,301413755.0,68182532.0,121412.0,1793732057.0
"Vốn tải trợ, ủy thác đầu tư, cho vay màTCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay màTCTD chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay màTCTD chịu rủi ro",-,-,-,1.595.786,518.112,-,-,-,2.113.398,,,,1595786.0,518112.0,,,,2113398.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,4.265.917,46.883.840,54.703.060,54.850.385,4.232.150,9.095.000,174.030.352,,,4265917.0,46883840.0,54703060.0,54850385.0,4232150.0,9095000.0,174030352.0
