row_label_raw,row_label_full,col_0,31.12.2025Triệu đồng,31.12.2024Triệu đồng,numeric__31.12.2025Triệu đồng,numeric__31.12.2024Triệu đồng
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,445.508.702,383.283.642,445508702.0,383283642.0
- Bằng VND,- Bằng VND,- Bằng VND,364.161.636,321.102.773,364161636.0,321102773.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,81.347.066,62.180.869,81347066.0,62180869.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,1.335.632.038,1.207.204.483,1335632038.0,1207204483.0
- Bằng VND,- Bằng VND,- Bằng VND,1.286.750.366,1.166.855.835,1286750366.0,1166855835.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,48.881.672,40.348.648,48881672.0,40348648.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,5.787.395,9.979.781,5787395.0,9979781.0
- Bằng VND,- Bằng VND,- Bằng VND,4.827.196,9.115.853,4827196.0,9115853.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,960.199,863.928,960199.0,863928.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,6.803.922,5.848.779,6803922.0,5848779.0
- Bằng VND,- Bằng VND,- Bằng VND,6.225.421,5.457.579,6225421.0,5457579.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,578.501,391.200,578501.0,391200.0
,,,1.793.732.057,1.606.316.685,1793732057.0,1606316685.0
