row_label_raw,row_label_full,col_0,31.12.2024,31.12.2024_1,31.12.2024_2,31.12.2024_3,31.12.2024_4,numeric__31.12.2024,numeric__31.12.2024_1,numeric__31.12.2024_2,numeric__31.12.2024_3,numeric__31.12.2024_4
,,,Kỳ phiếuTriệu đồng,Trải phiếuvô danhTriệu đồng,Trải phiếughi sốTriệu đồng,Chứng chitiền gửiTriệu đồng,Tổng cộngTriệu đồng,,,,,
Dưới 12 tháng,Dưới 12 tháng,Dưới 12 tháng,153,-,-,96.457.274,96.457.427,153.0,,,96457274.0,96457427.0
Mệnh giá,Mệnh giá,Mệnh giá,153,-,-,96.457.274,96.457.427,153.0,,,96457274.0,96457427.0
- Bằng VND,- Bằng VND,- Bằng VND,153,-,-,96.457.274,96.457.427,153.0,,,96457274.0,96457427.0
Từ 12 tháng đếndưới 5 năm,Từ 12 tháng đếndưới 5 năm,Từ 12 tháng đếndưới 5 năm,-,166,-,8.043.397,8.043.563,,166.0,,8043397.0,8043563.0
Mệnh giá,Mệnh giá,Mệnh giá,-,166,-,8.043.397,8.043.563,,166.0,,8043397.0,8043563.0
- Bằng VND,- Bằng VND,- Bằng VND,-,166,-,8.043.326,8.043.492,,166.0,,8043326.0,8043492.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,-,-,-,71,71,,,,71.0,71.0
Từ 5 năm trở lên,Từ 5 năm trở lên,Từ 5 năm trở lên,-,-,47.177.100,-,47.177.100,,,47177100.0,,47177100.0
Mệnh giá,Mệnh giá,Mệnh giá,-,-,47.177.020,-,47.177.020,,,47177020.0,,47177020.0
- Bằng VND,- Bằng VND,- Bằng VND,-,-,47.177.020,-,47.177.020,,,47177020.0,,47177020.0
Phụ trội,Phụ trội,Phụ trội,-,-,80,-,80,,,80.0,,80.0
,,,153,166,47.177.100,104.500.671,151.678.090,153.0,166.0,47177100.0,104500671.0,151678090.0
