row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu Triệu đồng,Thặng dư vốn cổ phần Triệu đồng,Vốn khác Triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,Quỹ dự phòng tài chính Triệu đồng,Quỹ đầu tư phát triển Triệu đồng,Chính lệch tỷ giả hôi doài Triệu đồng,Lợi nhuận sau thuế chưa phân phối Triệu đồng,Lợi ích của cổ đông không kiểm soát Triệu đồng,Tổng cộng Triệu đồng,numeric__Vốn góp của chủ sở hữu Triệu đồng,numeric__Thặng dư vốn cổ phần Triệu đồng,numeric__Vốn khác Triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,numeric__Quỹ dự phòng tài chính Triệu đồng,numeric__Quỹ đầu tư phát triển Triệu đồng,numeric__Chính lệch tỷ giả hôi doài Triệu đồng,numeric__Lợi nhuận sau thuế chưa phân phối Triệu đồng,numeric__Lợi ích của cổ đông không kiểm soát Triệu đồng,numeric__Tổng cộng Triệu đồng
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,53.699.917,8.974.677,836.032,6.361.179,12.588.838,93.558,86.970,42.369.429,861.220,125.871.820,53699917.0,8974677.0,836032.0,6361179.0,12588838.0,93558.0,86970.0,42369429.0,861220.0,125871820.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,25.348.215,134.352,25.482.567,,,,,,,,25348215.0,134352.0,25482567.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,-,-,-,-,-,-,-,1.537,1.537,,,,,,,,,1537.0,1537.0
Táng do chuyển đổi bảo cáo tài chính cho mục đích hợp nhất,Táng do chuyển đổi bảo cáo tài chính cho mục đích hợp nhất,Táng do chuyển đổi bảo cáo tài chính cho mục đích hợp nhất,-,-,-,-,926,558,156.135,(2.871),-,154.748,,,,,926.0,558.0,156135.0,-2871.0,,154748.0
Điều chính trích lập quỹ của năm trước,Điều chính trích lập quỹ của năm trước,Điều chính trích lập quỹ của năm trước,-,-,-,972.554,-,389.079,-,(1.361.633),-,-,,,,972554.0,,389079.0,,-1361633.0,,
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,73.373,2.436.296,2.444.509,29.260,-,(4.983.438),-,-,,,73373.0,2436296.0,2444509.0,29260.0,,-4983438.0,,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(2.718.159),(26.380),(2.744.539),,,,,,,,-2718159.0,-26380.0,-2744539.0
Các thay đổi khác,Các thay đổi khác,Các thay đổi khác,-,-,-,-,-,-,-,(261.425),-,(261.425),,,,,,,,-261425.0,,-261425.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,53.699.917,8.974.677,906.405,9.770.029,16.034.273,512.455,243.105,58.390.118,970.729,148.504.708,53699917.0,8974677.0,906405.0,9770029.0,16034273.0,512455.0,243105.0,58390118.0,970729.0,148504708.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,34.604.481,266.765,34.871.266,,,,,,,,34604481.0,266765.0,34871266.0
Phát hành cổ phiếu đề trả cổ tức từ lợi nhuận sau thuế chưa phân phối (i),Phát hành cổ phiếu đề trả cổ tức từ lợi nhuận sau thuế chưa phân phối (i),Phát hành cổ phiếu đề trả cổ tức từ lợi nhuận sau thuế chưa phân phối (i),23.969.529,(11),665.158,-,-,-,-,(24.634.676),(3),(3),23969529.0,-11.0,665158.0,,,,,-24634676.0,-3.0,-3.0
Chia cổ tức (ii),Chia cổ tức (ii),Chia cổ tức (ii),-,-,-,-,-,-,-,(2.416.496),-,(2.416.496),,,,,,,,-2416496.0,,-2416496.0
Tăng do chuyển đổi bảo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi bảo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi bảo cáo tài chính cho mục đích hợp nhất,-,-,-,-,(199),(102),119.643,(5.735),-,113.607,,,,,-199.0,-102.0,119643.0,-5735.0,,113607.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,3.319.165,2.982.620,36.114,-,(6.337.899),-,-,,,,3319165.0,2982620.0,36114.0,,-6337899.0,,
"Trích lập quỹ khen thưởng, phúc lợi (iii)","Trích lập quỹ khen thưởng, phúc lợi (iii)","Trích lập quỹ khen thưởng, phúc lợi (iii)",-,-,-,-,-,-,-,(1.404.289),(31.078),(1.435.367),,,,,,,,-1404289.0,-31078.0,-1435367.0
Các thay đổi khác,Các thay đổi khác,Các thay đổi khác,-,-,-,-,-,-,-,17.290,-,17.290,,,,,,,,17290.0,,17290.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,77.669.446,8.974.666,1.574.563,13.089.194,18.016.694,548.467,362.748,58.212.794,1.206.433,179.655.005,77669446.0,8974666.0,1574563.0,13089194.0,18016694.0,548467.0,362748.0,58212794.0,1206433.0,179655005.0
