row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2025Triệu đồng,Tại ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2025Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2024Triệu đồng
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,12.583.484,11.147.549,,3.0,12583484.0,11147549.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,4,35.225.543,34.431.657,,4.0,35225543.0,34431657.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tin dụng (""TCTD"") khác",,476.487.530,378.482.885,,,476487530.0,378482885.0
1,A > 1,1,Tiền gửi tại các TCTD khác,5.1,463.381.166,370.530.038,,51.0,463381166.0,370530038.0
2,A > 2,2,Cho vay các TCTD khác,5.2,13.106.364,7.952.847,,52.0,13106364.0,7952847.0
IV,A > IV,IV,Chứng khoán kinh doanh,6,2.942.431,2.798.875,,6.0,2942431.0,2798875.0
1,A > 1,1,Chứng khoán kinh doanh,,3.044.151,2.990.692,,,3044151.0,2990692.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(101.720),(191.817),,,-101720.0,-191817.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,228.448,-,,7.0,228448.0,
VI,A > VI,VI,Cho vay khách hàng,8,1.957.462.503,1.685.290.589,,8.0,1957462503.0,1685290589.0
1,A > 1,1,Cho vay khách hàng,,1.992.272.868,1.721.954.714,,,1992272868.0,1721954714.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,,(34.810.365),(36.664.125),,,-34810365.0,-36664125.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,9,211.880.390,214.607.153,,9.0,211880390.0,214607153.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,9.1,203.605.111,188.557.477,,91.0,203605111.0,188557477.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,"9.2, 9.3",8.806.918,26.635.861,,,8806918.0,26635861.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,9.5,(531.639),(586.185),,95.0,-531639.0,-586185.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,4.428.296,3.933.844,,10.0,4428296.0,3933844.0
2,A > 2,2,Vốn góp liên doanh,,4.193.834,3.706.673,,,4193834.0,3706673.0
4,A > 4,4,Đầu tư dài hạn khác,,234.462,234.462,,,234462.0,234462.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,-,(7.291),,,,-7291.0
X,A > X,X,Tài sản cố định,,10.826.743,10.002.157,,,10826743.0,10002157.0
1,A > 1,1,Tài sản cố định hữu hình,11,6.729.017,6.149.216,,11.0,6729017.0,6149216.0
a,A > a,a,Nguyễn giá,,18.510.909,17.253.570,,,18510909.0,17253570.0
b,A > b,b,Giá trị hao mòn lũy kế,,(11.781.892),(11.104.354),,,-11781892.0,-11104354.0
3,A > 3,3,Tài sản cố định vô hình,12,4.097.726,3.852.941,,12.0,4097726.0,3852941.0
a,A > a,a,Nguyễn giá,,7.363.859,6.927.826,,,7363859.0,6927826.0
b,A > b,b,Giá trị hao mòn lũy kế,,(3.266.133),(3.074.885),,,-3266133.0,-3074885.0
XI,A > XI,XI,Tài sản Có khác,,55.633.932,44.693.023,,,55633932.0,44693023.0
1,A > 1,1,Các khoản phải thu,13.1,33.305.817,27.766.899,,131.0,33305817.0,27766899.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,17.173.963,13.312.631,,,17173963.0,13312631.0
,,,"Tài sản thuế thu nhập doanh nghiệp (""TNDN"") hoãn lại",,434,4.369,,,434.0,4369.0
4,A > 4,4,Tài sản Có khác,13.2,5.262.441,3.715.565,,132.0,5262441.0,3715565.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,13.3,(108.723),(106.441),,133.0,-108723.0,-106441.0
,,,TỔNG TÀI SẢN CÓ,,2.767.699.300,2.385.387.732,,,2767699300.0,2385387732.0
