row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025Triệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025Triệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,"Mua sắm tài sản cố định (""TSCĐ"")",,(2.004.950),(1.362.079),,,-2004950.0,-1362079.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,22.267,15.158,,,22267.0,15158.0
03,03,03,"Tiền chỉ từ thanh lý, nhượng bán TSCĐ",,(3.861),(2.641),,,-3861.0,-2641.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,71.352,20.539,,,71352.0,20539.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(1.915.192),(1.329.023),,,-1915192.0,-1329023.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
04,04,04,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(2.416.496),-,,,-2416496.0,
06,06,06,Tiền thu được do bán cổ phiếu quỹ,,-,1.537,,,,1537.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(2.416.496),1.537,,,-2416496.0,1537.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,78.312.312,100.861.200,,,78312312.0,100861200.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,32,373.319.556,272.303.607,,32.0,373319556.0,272303607.0
VI,VI,VI,ĐIỀU CHÌNH ẢNH HƯỞNG CỦA THAY ĐỜI TÝ GIÁ,,113.607,154.749,,,113607.0,154749.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,32,451.745.475,373.319.556,,32.0,451745475.0,373319556.0
