row_label_raw,row_label_full,col_0,31.12.2025Triệu đồng,31.12.2024Triệu đồng,numeric__31.12.2025Triệu đồng,numeric__31.12.2024Triệu đồng
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,89.124.204,73.136.410,89124204.0,73136410.0
Công ty TNHH MTV vốn Nhà nước 100%,Công ty TNHH MTV vốn Nhà nước 100%,Công ty TNHH MTV vốn Nhà nước 100%,19.774.726,19.359.269,19774726.0,19359269.0
Công ty TNHH hơn MTV vốn Nhà nước trên 50%,Công ty TNHH hơn MTV vốn Nhà nước trên 50%,Công ty TNHH hơn MTV vốn Nhà nước trên 50%,8.036.468,7.902.552,8036468.0,7902552.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,380.785.001,321.097.364,380785001.0,321097364.0
Công ty cổ phần vốn Nhà nước trên 50%,Công ty cổ phần vốn Nhà nước trên 50%,Công ty cổ phần vốn Nhà nước trên 50%,22.525.056,30.289.805,22525056.0,30289805.0
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,533.607.126,475.334.520,533607126.0,475334520.0
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,58.452,13.268,58452.0,13268.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,17.853.571,15.702.350,17853571.0,15702350.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,109.021.012,99.486.436,109021012.0,99486436.0
Hợp tác xã và Liên hiệp Hợp tác xã,Hợp tác xã và Liên hiệp Hợp tác xã,Hợp tác xã và Liên hiệp Hợp tác xã,1.109.171,1.316.385,1109171.0,1316385.0
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",808.113.278,676.069.263,808113278.0,676069263.0
"Đơn vị hành chính sự nghiệp, Đắng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đắng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đắng, đoàn thể và hiệp hội",1.796.972,1.712.588,1796972.0,1712588.0
Thành phần kinh tế khác,Thành phần kinh tế khác,Thành phần kinh tế khác,467.831,534.504,467831.0,534504.0
,,,1.992.272.868,1.721.954.714,1992272868.0,1721954714.0
