row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,11.772.802,10.687.733,11772802.0,10687733.0
Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,Thu nhập từ nợ xấu đã được xử lý,10.001.921,8.480.766,10001921.0,8480766.0
"Thu nhập từ chuyển nhượng, thanh lý tài sản","Thu nhập từ chuyển nhượng, thanh lý tài sản","Thu nhập từ chuyển nhượng, thanh lý tài sản",22.267,15.158,22267.0,15158.0
Thu nhập từ công cụ phải sinh khác,Thu nhập từ công cụ phải sinh khác,Thu nhập từ công cụ phải sinh khác,912.971,1.111.458,912971.0,1111458.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,835.643,1.080.351,835643.0,1080351.0
Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,Chi phí từ hoạt động khác,(1.677.440),(2.268.947),-1677440.0,-2268947.0
Chi phí từ công cụ phải sinh khác,Chi phí từ công cụ phải sinh khác,Chi phí từ công cụ phải sinh khác,(911.366),(1.659.060),-911366.0,-1659060.0
"Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản","Chi phí từ chuyển nhượng, thanh lý tài sản",(3.861),(2.641),-3861.0,-2641.0
Chi phí khác,Chi phí khác,Chi phí khác,(762.213),(607.246),-762213.0,-607246.0
Lãi thuần,Lãi thuần,Lãi thuần,10.095.362,8.418.786,10095362.0,8418786.0
