row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy tính và TSCĐ vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy tính và TSCĐ vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,4.160.402,2.767.424,6.927.826,4160402.0,2767424.0,6927826.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,78.650,446.570,525.220,78650.0,446570.0,525220.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(84.801),(1.197),(85.998),-84801.0,-1197.0,-85998.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(53),(3.136),(3.189),-53.0,-3136.0,-3189.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,4.154.198,3.209.661,7.363.859,4154198.0,3209661.0,7363859.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(540.827),(2.534.058),(3.074.885),-540827.0,-2534058.0,-3074885.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(39.038),(165.712),(204.750),-39038.0,-165712.0,-204750.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",9.515,1.197,10.712,9515.0,1197.0,10712.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,2.790,2.790,,2790.0,2790.0
Tại ngày 31 tháng 12 năm 2025,Giá trị hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(570.350),(2.695.783),(3.266.133),-570350.0,-2695783.0,-3266133.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,3.619.575,233.366,3.852.941,3619575.0,233366.0,3852941.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,3.583.848,513.878,4.097.726,3583848.0,513878.0,4097726.0
Các thông tin khác về TSCĐ vô hình,Các thông tin khác về TSCĐ vô hình,Các thông tin khác về TSCĐ vô hình,Các thông tin khác về TSCĐ vô hình,Các thông tin khác về TSCĐ vô hình,Các thông tin khác về TSCĐ vô hình,,,
,,,,31.12.2025,31.12.2024,,31122025.0,31122024.0
,,,,Triệu đồng,Triệu đồng,,,
Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng còn sử dụng,Các thông tin khác về TSCĐ vô hình > Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng còn sử dụng,Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng còn sử dụng,,2.295.278,1.339.591,,2295278.0,1339591.0
