row_label_raw,row_label_full,col_0,31.12.2025Triệu đồng,31.12.2024Triệu đồng,numeric__31.12.2025Triệu đồng,numeric__31.12.2024Triệu đồng
Nghĩa vụ tiềm ăn,Nghĩa vụ tiềm ăn,Nghĩa vụ tiềm ăn,Nghĩa vụ tiềm ăn,Nghĩa vụ tiềm ăn,,
Bảo lãnh vốn vay,Nghĩa vụ tiềm ăn > Bảo lãnh vốn vay,Bảo lãnh vốn vay,28.630.320,15.390.290,28630320.0,15390290.0
Cam kết trong nghiệp vụ L/C,Nghĩa vụ tiềm ăn > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,91.019.626,66.691.329,91019626.0,66691329.0
Bảo lãnh khác,Nghĩa vụ tiềm ăn > Bảo lãnh khác,Bảo lãnh khác,147.475.860,108.170.999,147475860.0,108170999.0
,,,267.125.806,190.252.618,267125806.0,190252618.0
Các cam kết đưa ra,Các cam kết đưa ra,Các cam kết đưa ra,Các cam kết đưa ra,Các cam kết đưa ra,,
Cam kết giao dịch hồi đoài,Các cam kết đưa ra > Cam kết giao dịch hồi đoài,Cam kết giao dịch hồi đoài,860.422.276,804.229.724,860422276.0,804229724.0
Các cam kết khác,Các cam kết đưa ra > Các cam kết khác,Các cam kết khác,83.119.399,63.111.263,83119399.0,63111263.0
,,,943.541.675,867.340.987,943541675.0,867340987.0
,,,1.210.667.481,1.057.593.605,1210667481.0,1057593605.0
