row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,,,,
Tăng/(giảm) tiền gửi tại NHNN,Ngân hàng Nhà nước Việt Nam > Tăng/(giảm) tiền gửi tại NHNN,Tăng/(giảm) tiền gửi tại NHNN,793.886,(6.165.402),793886.0,-6165402.0
(Giảm)/tăng tiền vay NHNN,Ngân hàng Nhà nước Việt Nam > (Giảm)/tăng tiền vay NHNN,(Giảm)/tăng tiền vay NHNN,(2.511.054),8.745.982,-2511054.0,8745982.0
"The Bank of Tokyo - Mitsubishi UFJ, Ltd.","The Bank of Tokyo - Mitsubishi UFJ, Ltd.","The Bank of Tokyo - Mitsubishi UFJ, Ltd.",,,,
Doanh thu lãi tiền gửi,"The Bank of Tokyo - Mitsubishi UFJ, Ltd. > Doanh thu lãi tiền gửi",Doanh thu lãi tiền gửi,23,486,23.0,486.0
Chi phí lãi tiền gửi,"The Bank of Tokyo - Mitsubishi UFJ, Ltd. > Chi phí lãi tiền gửi",Chi phí lãi tiền gửi,2.662,10.660,2662.0,10660.0
Chi phí lãi tiền vay,"The Bank of Tokyo - Mitsubishi UFJ, Ltd. > Chi phí lãi tiền vay",Chi phí lãi tiền vay,1.492,12.326,1492.0,12326.0
Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,Ngân hàng TNHH Indovina,,,,
Doanh thu lãi tiền gửi,Ngân hàng TNHH Indovina > Doanh thu lãi tiền gửi,Doanh thu lãi tiền gửi,158.441,43.538,158441.0,43538.0
Chi phí lãi tiền gửi,Ngân hàng TNHH Indovina > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,120.200,50.165,120200.0,50165.0
