row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày > 31.12.2025,Năm tài chính kết thúc ngày > 31.12.2024,numeric__Năm tài chính kết thúc ngày > 31.12.2025,numeric__Năm tài chính kết thúc ngày > 31.12.2024
,,,Triệu đồng,Triệu đồng,,
Thu nhập từ hoạt động kinh doanh ngoại hối,Thu nhập từ hoạt động kinh doanh ngoại hối,Thu nhập từ hoạt động kinh doanh ngoại hối,10.059.070,15.128.843,10059070.0,15128843.0
Thu nhập từ mua bán ngoại tệ giao ngay,Thu nhập từ mua bán ngoại tệ giao ngay,Thu nhập từ mua bán ngoại tệ giao ngay,4.200.940,6.592.377,4200940.0,6592377.0
Thu nhập từ kinh doanh vàng,Thu nhập từ kinh doanh vàng,Thu nhập từ kinh doanh vàng,657.111,861.008,657111.0,861008.0
Thu nhập từ công cụ tài chính phải sinh tiền tệ,Thu nhập từ công cụ tài chính phải sinh tiền tệ,Thu nhập từ công cụ tài chính phải sinh tiền tệ,5.201.019,7.675.458,5201019.0,7675458.0
Chi phí từ hoạt động kinh doanh ngoại hối,Chi phí từ hoạt động kinh doanh ngoại hối,Chi phí từ hoạt động kinh doanh ngoại hối,(6.938.569),(10.932.161),-6938569.0,-10932161.0
Chi phí từ mua bán ngoại tệ giao ngay,Chi phí từ mua bán ngoại tệ giao ngay,Chi phí từ mua bán ngoại tệ giao ngay,(392.623),(978.803),-392623.0,-978803.0
Chi phí kinh doanh vàng,Chi phí kinh doanh vàng,Chi phí kinh doanh vàng,(633.689),(807.582),-633689.0,-807582.0
Chi phí từ công cụ tài chính phải sinh tiền tệ,Chi phí từ công cụ tài chính phải sinh tiền tệ,Chi phí từ công cụ tài chính phải sinh tiền tệ,(5.912.257),(9.145.776),-5912257.0,-9145776.0
Lãi thuần,Lãi thuần,Lãi thuần,3.120.501,4.196.682,3120501.0,4196682.0
