row_label_raw,row_label_full,Dịch vụ tài chínhngân hàngTriệu đồng,Dịch vụ tài chínhphi ngân hàngTriệu đồng,KhácTriệu đồng,Điều chínhTriệu đồng,Tổng cộngTriệu đồng,numeric__Dịch vụ tài chínhphi ngân hàngTriệu đồng,numeric__KhácTriệu đồng,numeric__Điều chínhTriệu đồng,numeric__Tổng cộngTriệu đồng
171.415.348,171.415.348,171.415.348,5.332.125,2.327.825,(575.945),178.499.353,5332125.0,2327825.0,-575945.0,178499353.0
141.789.428,141.789.428,141.789.428,871.975,714.763,(233.838),143.142.328,871975.0,714763.0,-233838.0,143142328.0
141.598.167,141.598.167,141.598.167,837.514,706.647,-,143.142.328,837514.0,706647.0,,143142328.0
191.261,191.261,191.261,34.461,8.116,(233.838),-,34461.0,8116.0,-233838.0,
8.259.330,8.259.330,8.259.330,4.367.926,218.537,(494.738),12.351.055,4367926.0,218537.0,-494738.0,12351055.0
21.366.590,21.366.590,21.366.590,92.224,1.394.525,152.631,23.005.970,92224.0,1394525.0,152631.0,23005970.0
(112.723.793),(112.723.793),(112.723.793),(4.517.822),(1.391.002),875.129,(117.757.488),-4517822.0,-1391002.0,875129.0,-117757488.0
(76.283.902),(76.283.902),(76.283.902),(264.817),(374.202),233.838,(76.689.083),-264817.0,-374202.0,233838.0,-76689083.0
(76.229.063),(76.229.063),(76.229.063),(85.818),(374.202),-,(76.689.083),-85818.0,-374202.0,,-76689083.0
(54.839),(54.839),(54.839),(178.999),-,233.838,-,-178999.0,,233838.0,
(1.119.823),(1.119.823),(1.119.823),(12.779),(10.039),-,(1.142.641),-12779.0,-10039.0,,-1142641.0
(35.320.068),(35.320.068),(35.320.068),(4.240.226),(1.006.761),641.291,(39.925.764),-4240226.0,-1006761.0,641291.0,-39925764.0
58.691.555,58.691.555,58.691.555,814.303,936.823,299.184,60.741.865,814303.0,936823.0,299184.0,60741865.0
(17.159.751),(17.159.751),(17.159.751),(129.505),(12.942),4.142,(17.298.056),-129505.0,-12942.0,4142.0,-17298056.0
41.531.804,41.531.804,41.531.804,684.798,923.881,303.326,43.443.809,684798.0,923881.0,303326.0,43443809.0
(8.274.293),(8.274.293),(8.274.293),(135.226),(159.089),-,(8.568.608),-135226.0,-159089.0,,-8568608.0
-,-,-,404,(4.339),-,(3.935),404.0,-4339.0,,-3935.0
33.257.511,33.257.511,33.257.511,549.976,760.453,303.326,34.871.266,549976.0,760453.0,303326.0,34871266.0
2.744.701.810,2.744.701.810,2.744.701.810,19.012.075,12.540.769,(8.555.354),2.767.699.300,19012075.0,12540769.0,-8555354.0,2767699300.0
12.552.302,12.552.302,12.552.302,2.371,28.811,-,12.583.484,2371.0,28811.0,,12583484.0
10.659.152,10.659.152,10.659.152,103.404,64.187,-,10.826.743,103404.0,64187.0,,10826743.0
2.721.490.356,2.721.490.356,2.721.490.356,18.906.300,12.447.771,(8.555.354),2.744.289.073,18906300.0,12447771.0,-8555354.0,2744289073.0
2.570.442.280,2.570.442.280,2.570.442.280,14.757.998,9.657.836,(6.813.819),2.588.044.295,14757998.0,9657836.0,-6813819.0,2588044295.0
2.561.636.817,2.561.636.817,2.561.636.817,14.410.394,9.594.804,(6.813.843),2.578.828.172,14410394.0,9594804.0,-6813843.0,2578828172.0
8.805.463,8.805.463,8.805.463,347.604,63.032,24,9.216.123,347604.0,63032.0,24.0,9216123.0
