row_label_raw,row_label_full,col_0,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025Triệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025Triệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024Triệu đồng
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,139.430.552,125.647.114,,139430552.0,125647114.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,Chi phí lãi và các chi phí tương tự đã trả,(71.064.497),(69.067.517),,-71064497.0,-69067517.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Thu nhập từ hoạt động dịch vụ nhận được,6.753.144,7.287.579,,6753144.0,7287579.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"Chênh lệch số tiền thực thu từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",3.801.622,4.343.826,,3801622.0,4343826.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Chi phí khác,(440.481),(912.465),,-440481.0,-912465.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,"Tiền thu các khoản nợ đã được xử lý, bù đắp bằng nguồn dự phòng rủi ro",9.991.111,7.608.116,,9991111.0,7608116.0
07,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",(23.284.913),(20.146.505),,-23284913.0,-20146505.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Tiền thuế TNDN thực nộp trong năm,(7.547.490),(6.006.343),,-7547490.0,-6006343.0
LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỒI VỀ TẢI SẢN VÀ VỐN LU'U ĐỘNG,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỒI VỀ TẢI SẢN VÀ VỐN LU'U ĐỘNG,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỒI VỀ TẢI SẢN VÀ VỐN LU'U ĐỘNG,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH TRƯỚC NHỮNG THAY ĐỒI VỀ TẢI SẢN VÀ VỐN LU'U ĐỘNG,57.639.048,48.753.805,,57639048.0,48753805.0
