row_label_raw,row_label_full,col_0,Quá hạn,Không chịu rủi ro lãi suất do định giá lại,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Kỳ thay đổi lãi suất_6,numeric__Quá hạn,numeric__Không chịu rủi ro lãi suất do định giá lại,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Kỳ thay đổi lãi suất_6
,,,Quá hạn,Không chịu rủi ro lãi suất do định giá lại,Đến 1 tháng,Từ 1-3 tháng,Từ 3-6 tháng,Từ 6 -12 tháng,Từ 1-5 năm,Trên 5 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,12.660.583,-,-,-,-,-,-,12.660.583,,12660583.0,,,,,,,12660583.0
Tiền gửi tại Ngân hàng Trung ương,Tài sản > Tiền gửi tại Ngân hàng Trung ương,Tiền gửi tại Ngân hàng Trung ương,-,68.702.828,148.616,-,-,-,-,-,68.851.444,,68702828.0,148616.0,,,,,,68851444.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),1.011,2.820.326,101.490.243,25.229.661,5.481.784,1.014.386,32.152,-,136.069.563,1011.0,2820326.0,101490243.0,25229661.0,5481784.0,1014386.0,32152.0,,136069563.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,1.349.718,-,-,165.489,4.567.958,-,-,6.083.165,,1349718.0,,,165489.0,4567958.0,,,6083165.0
Công cụ tài chính và tài sản tài chính phải sinh khác,Tài sản > Công cụ tài chính và tài sản tài chính phải sinh khác,Công cụ tài chính và tài sản tài chính phải sinh khác,-,-,33.693,19.621,71.987,66.981,-,-,192.282,,,33693.0,19621.0,71987.0,66981.0,,,192282.0
Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Tài sản > Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),14.049.285,-,343.994.797,416.671.222,401.859.916,146.540.000,39.046.140,6.639.202,1.368.800.562,14049285.0,,343994797.0,416671222.0,401859916.0,146540000.0,39046140.0,6639202.0,1368800562.0
Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Tài sản > Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),-,174.970,172.926,2.014.881,8.551.466,7.188.020,70.314.632,74.801.893,163.218.788,,174970.0,172926.0,2014881.0,8551466.0,7188020.0,70314632.0,74801893.0,163218788.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,2.945.299,-,-,-,-,-,-,2.945.299,,2945299.0,,,,,,,2945299.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,10.741.232,-,-,-,-,-,-,10.741.232,,10741232.0,,,,,,,10741232.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),568.572,21.775.744,-,-,-,-,-,-,22.344.316,568572.0,21775744.0,,,,,,,22344316.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,14.618.868,121.170.700,445.840.275,443.935.385,416.130.642,159.377.345,109.392.924,81.441.095,1.791.907.234,14618868.0,121170700.0,445840275.0,443935385.0,416130642.0,159377345.0,109392924.0,81441095.0,1791907234.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
"Các khoản nợ Chính phủ và NHNN, tiền gửi và vay các TCTD khác","Nợ phải trả > Các khoản nợ Chính phủ và NHNN, tiền gửi và vay các TCTD khác","Các khoản nợ Chính phủ và NHNN, tiền gửi và vay các TCTD khác",-,1.416.735,69.800.336,18.840.799,22.055.359,5.806.695,1.406.462,4.021.024,123.347.410,,1416735.0,69800336.0,18840799.0,22055359.0,5806695.0,1406462.0,4021024.0,123347410.0
