row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Quá hạn_3,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Quá hạn_3
,,,Dưới 90 ngày,Từ 91 tới 180 ngày,Từ 181 tới 360 ngày,Trên 360 ngày,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,26.558,27.552,238.442,411.058,26558.0,27552.0,238442.0,411058.0
