row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Quỹ khác thuộc Vốn chủ sở hữu,Vốn khác,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Vốn chủ sở hữu,numeric__Vốn khác,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,40.220.180,14.292.382,5.193.122,2.718.766,118.745,33.648,267.851,49.915,13.517.408,3.234.595,79.646.612,40220180.0,14292382.0,5193122.0,2718766.0,118745.0,33648.0,267851.0,49915.0,13517408.0,3234595.0,79646612.0
Tăng vốn từ trả cổ tức bằng cổ phiếu,Tăng vốn từ trả cổ tức bằng cổ phiếu,Tăng vốn từ trả cổ tức bằng cổ phiếu,10.365.059,-,-,-,-,-,-,-,(10.365.059),-,-,10365059.0,,,,,,,,-10365059.0,,
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,-,-,-,-,10.540.138,301.133,10.841.271,,,,,,,,,10540138.0,301133.0,10841271.0
Điều chỉnh trích lập quỹ của các năm tài chính trước,Điều chỉnh trích lập quỹ của các năm tài chính trước,Điều chỉnh trích lập quỹ của các năm tài chính trước,-,-,(2.178),7.614,-,-,-,-,(5.436),-,-,,,-2178.0,7614.0,,,,,-5436.0,,
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,1.025.374,524.669,55.194,9.499,-,-,(1.627.248),12.512,-,,,1025374.0,524669.0,55194.0,9499.0,,,-1627248.0,12512.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,(895),-,-,-,-,-,-,-,(895),,,-895.0,,,,,,,,-895.0
"Tạm trích quỹ khen thưởng, phúc lợi năm 2021","Tạm trích quỹ khen thưởng, phúc lợi năm 2021","Tạm trích quỹ khen thưởng, phúc lợi năm 2021",-,-,-,-,-,-,-,-,(1.792.750),-,(1.792.750),,,,,,,,,-1792750.0,,-1792750.0
"Trích bổ sung quỹ khen thưởng, phúc lợi năm 2020","Trích bổ sung quỹ khen thưởng, phúc lợi năm 2020","Trích bổ sung quỹ khen thưởng, phúc lợi năm 2020",-,-,-,-,-,-,-,-,(740.641),(38.140),(778.781),,,,,,,,,-740641.0,-38140.0,-778781.0
Quyết định trả cổ tức trong năm (xem thuyết minh số 25.4 ),Quyết định trả cổ tức trong năm (xem thuyết minh số 25.4 ),Quyết định trả cổ tức trong năm (xem thuyết minh số 25.4 ),-,-,-,-,-,-,-,-,(804.404),(90.542),(894.946),,,,,,,,,-804404.0,-90542.0,-894946.0
Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính công ty con,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính công ty con,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính công ty con,-,-,-,-,-,-,-,(417.797),(1.390),(212.576),(631.763),,,,,,,,-417797.0,-1390.0,-212576.0,-631763.0
Biến động do giải thể IIDC,Biến động do giải thể IIDC,Biến động do giải thể IIDC,-,-,-,-,-,-,-,-,(38.819),-,(38.819),,,,,,,,,-38819.0,,-38819.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,2.164,899,(1.484),(186),-,-,(9.242),(13.054),(20.903),,,2164.0,899.0,-1484.0,-186.0,,,-9242.0,-13054.0,-20903.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,50.585.239,14.292.382,6.217.587,3.251.948,172.455,42.961,267.851,(367.882),8.672.557,3.193.928,86.329.026,50585239.0,14292382.0,6217587.0,3251948.0,172455.0,42961.0,267851.0,-367882.0,8672557.0,3193928.0,86329026.0
