row_label_raw,row_label_full,Chỉ tiêu,Năm 2021,Năm 2020,Tăng trưởng,numeric__Năm 2021,numeric__Năm 2020,numeric__Tăng trưởng
LNST riêng lẻ,LNST riêng lẻ,LNST riêng lẻ,10.072.391,6.690.239,"50,55%",10072391.0,6690239.0,0.5055
LNST hợp nhất,LNST hợp nhất,LNST hợp nhất,10.841.271,7.223.565,"50,08%",10841271.0,7223565.0,0.5008
