row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,4.340.105,1.654.829,12.410,6.007.344,4340105.0,1654829.0,12410.0,6007344.0
Mua trong năm,Nguyên giá TSCĐ vô hình > Mua trong năm,Mua trong năm,134.693,304.516,437,439.646,134693.0,304516.0,437.0,439646.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.816),-,(1.816),,-1816.0,,-1816.0
(Giảm) khác,Nguyên giá TSCĐ vô hình > (Giảm) khác,(Giảm) khác,(20.799),(15.785),(802),(37.386),-20799.0,-15785.0,-802.0,-37386.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.453.999,1.941.744,12.045,6.407.788,4453999.0,1941744.0,12045.0,6407788.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,364.642,1.376.860,6.051,1.747.553,364642.0,1376860.0,6051.0,1747553.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,38.133,232.132,1.060,271.325,38133.0,232132.0,1060.0,271325.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.816),-,(1.816),,-1816.0,,-1816.0
Tăng/(giảm) khác,Giá trị hao mòn lũy kế > Tăng/(giảm) khác,Tăng/(giảm) khác,1,(12.002),(455),(12.456),1.0,-12002.0,-455.0,-12456.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,402.776,1.595.174,6.656,2.004.606,402776.0,1595174.0,6656.0,2004606.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,3.975.463,277.969,6.359,4.259.791,3975463.0,277969.0,6359.0,4259791.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,4.051.223,346.570,5.389,4.403.182,4051223.0,346570.0,5389.0,4403182.0
