row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",6,12.660.583,12.294.193,,6.0,12660583.0,12294193.0
II.,A > II.,II.,Tiền gửi tại Ngân hàng Trung ương,7,68.851.444,49.432.144,,7.0,68851444.0,49432144.0
III.,A > III.,III.,Tiền gửi và cho vay các TCTD khác,8,135.940.229,85.347.858,,8.0,135940229.0,85347858.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,112.042.988,62.191.227,,,112042988.0,62191227.0
2.,A > 2.,2.,Cho vay các TCTD khác,,24.026.575,23.295.457,,,24026575.0,23295457.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại và cho vay các TCTD khác,9,(129.334),(138.826),,9.0,-129334.0,-138826.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,10,6.068.913,10.169.711,,10.0,6068913.0,10169711.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,6.083.165,10.184.436,,,6083165.0,10184436.0
2.,A > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(14.252),(14.725),,,-14252.0,-14725.0
V.,A > V.,V.,Các công cụ tài chính phái sinh và các tài sản tài chính khác,11,192.282,167.933,,11.0,192282.0,167933.0
VI.,A > VI.,VI.,Cho vay khách hàng,,1.325.528.925,1.195.239.968,,,1325528925.0,1195239968.0
1.,A > 1.,1.,Cho vay khách hàng,12,1.354.632.643,1.214.295.916,,12.0,1354632643.0,1214295916.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,13,(29.103.718),(19.055.948),,13.0,-29103718.0,-19055948.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,14,177.088.795,125.114.962,,14.0,177088795.0,125114962.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,111.675.314,112.192.338,,,111675314.0,112192338.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,65.711.393,13.501.317,,,65711393.0,13501317.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(297.912),(578.693),,,-297912.0,-578693.0
VIII.,A > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",15,2.847.647,2.760.622,,15.0,2847647.0,2760622.0
1.,A > 1.,1.,Vốn góp liên doanh,15.1,2.134.086,2.039.869,,151.0,2134086.0,2039869.0
2.,A > 2.,2.,Đầu tư vào công ty liên kết,15.2,595.596,603.605,,152.0,595596.0,603605.0
3.,A > 3.,3.,"Góp vốn, đầu tư dài hạn khác",,215.617,215.470,,,215617.0,215470.0
4.,A > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,15.3,(97.652),(98.322),,153.0,-97652.0,-98322.0
IX.,A > IX.,IX.,Tài sản cố định,16,10.741.232,10.422.121,,16.0,10741232.0,10422121.0
1.,A > 1.,1.,Tài sản cố định hữu hình,16.1,6.338.050,6.162.330,,161.0,6338050.0,6162330.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,14.264.308,13.353.310,,,14264308.0,13353310.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(7.926.258),(7.190.980),,,-7926258.0,-7190980.0
2.,A > 2.,2.,Tài sản cố định vô hình,16.2,4.403.182,4.259.791,,162.0,4403182.0,4259791.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,6.407.788,6.007.344,,,6407788.0,6007344.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(2.004.606),(1.747.553),,,-2004606.0,-1747553.0
X.,A > X.,X.,Tài sản Có khác,17,21.775.742,25.736.200,,17.0,21775742.0,25736200.0
1.,A > 1.,1.,Các khoản phải thu,,7.838.680,9.784.393,,,7838680.0,9784393.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,10.901.959,12.821.354,,,10901959.0,12821354.0
3.,A > 3.,3.,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,36.588,37.087,,,36588.0,37087.0
4.,A > 4.,4.,Tài sản Có khác,,3.567.089,3.707.796,,,3567089.0,3707796.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,,(568.574),(614.430),,,-568574.0,-614430.0
,,,TỔNG TÀI SẢN,,1.761.695.792,1.516.685.712,,,1761695792.0,1516685712.0
