row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,26,101.007.908,100.687.502,,26.0,101007908.0,100687502.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,27,(54.184.600),(64.890.703),,27.0,-54184600.0,-64890703.0
I,I,I,Thu nhập lãi thuần,,46.823.308,35.796.799,,,46823308.0,35796799.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,10.370.092,8.618.090,,,10370092.0,8618090.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(3.755.811),(3.351.709),,,-3755811.0,-3351709.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,28,6.614.281,5.266.381,,28.0,6614281.0,5266381.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,1.896.154,1.732.324,,29.0,1896154.0,1732324.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,30.1,586.241,478.668,,301.0,586241.0,478668.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,30.2,207.431,1.516.137,,302.0,207431.0,1516137.0
V,V,V,Lãi thuần từ mua bán chứng khoán,,793.672,1.994.805,,,793672.0,1994805.0
5.,5.,5.,Thu nhập từ hoạt động khác,,8.957.444,7.992.789,,,8957444.0,7992789.0
6.,6.,6.,Chi phí từ hoạt động khác,,(2.778.592),(2.900.221),,,-2778592.0,-2900221.0
VI,VI,VI,Lãi thuần từ hoạt động khác,31,6.178.852,5.092.568,,31.0,6178852.0,5092568.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cố phần",32,187.622,154.267,,32.0,187622.0,154267.0
VII,VII,VII,Tổng thu nhập hoạt động,,62.493.889,50.037.144,,,62493889.0,50037144.0
7.,7.,7.,Chi phí nhân viên,,(11.428.468),(10.117.321),,,-11428468.0,-10117321.0
8.,8.,8.,Chi phí khấu hao và khấu trừ,,(1.222.703),(980.093),,,-1222703.0,-980093.0
9.,9.,9.,Chi phí hoạt động khác,,(6.814.150),(6.595.546),,,-6814150.0,-6595546.0
VIII,VIII,VIII,Tổng chi phí hoạt động,33,(19.465.321),(17.692.960),,33.0,-19465321.0,-17692960.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,,43.028.568,32.344.184,,,43028568.0,32344184.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,"9, 13",(29.480.917),(23.317.941),,,-29480917.0,-23317941.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,13.547.651,9.026.243,,,13547651.0,9026243.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,,(2.707.403),(1.799.378),,,-2707403.0,-1799378.0
11.,11.,11.,Thu nhập/(Chi phí) thuế TNDN hoãn lại,,1.023,(3.300),,,1023.0,-3300.0
XII,XII,XII,Chi phí thuế TNDN,"34, 5.1",(2.706.380),(1.802.678),,,-2706380.0,-1802678.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,10.841.271,7.223.565,,,10841271.0,7223565.0
XIII,XIII,XIII,Phân bố (lãi) cho cố đông không kiểm soát,,(301.133),(226.943),,,-301133.0,-226943.0
XIII,XIII,XIII,Lợi nhuận thuần của Ngân hàng mẹ,,10.540.138,6.996.622,,,10540138.0,6996622.0
XIII,XIII,XIII,Lãi cơ bản trên mỗi cố phiếu (VND/cố phiếu),35,1.729,1.004,,35.0,1729.0,1004.0
