row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu,(Phải trả),numeric__Số dư,numeric__Phải thu,numeric__(Phải trả)
,,,,Triệu VND,Triệu VND,,,
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Tiền gửi của BIDV tại đại diện chủ sở hữu,64.545.328,-,,64545328.0,
Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Cơ quan quản lý Nhà nước,Các khoản vay của BIDV từ đại diện chủ sở hữu,-,(8.056.381),,,-8056381.0
Bên liên quan của chủ sở hữu (BTC và Kho bạc Nhà nước),Bên liên quan của chủ sở hữu (BTC và Kho bạc Nhà nước),Bên liên quan của chủ sở hữu (BTC và Kho bạc Nhà nước),Tiền gửi của bên liên quan của chủ sở hữu tại BIDV,-,(15.792.985),,,-15792985.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Tiền gửi tại BIDV của cổ đông chiến lược,-,(80.197),,,-80197.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Tiền gửi của BIDV tại cổ đông chiến lược,1.581.838,-,,1581838.0,
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Tiền BIDV phải trả cổ đông chiến lược,-,(120.661),,,-120661.0
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của các công ty liên doanh,-,(3.586.411),,,-3586411.0
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền gửi của BIDV tại các công ty liên doanh,3.197.259,-,,3197259.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Tiền vay từ BIDV của các công ty liên doanh,21.252,-,,21252.0,
Các công ty liên doanh,Các công ty liên doanh,Các công ty liên doanh,Phải thu các công ty liên doanh,40.000,-,,40000.0,
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Tiền gửi tại BIDV của các công ty liên kết,-,(653.363),,,-653363.0
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Tiền vay từ BIDV của các công ty liên kết,380.896,-,,380896.0,
