row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Quá hạn_3,Quá hạn_4,Trong hạn,Trong hạn_1,Trong hạn_2,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Quá hạn_3,numeric__Quá hạn_4,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 -12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,12.660.583,-,-,-,-,12.660.583,,,12660583.0,,,,,12660583.0
Tiền gửi tại Ngân hàng Trung ương,Tài sản > Tiền gửi tại Ngân hàng Trung ương,Tiền gửi tại Ngân hàng Trung ương,-,-,68.851.444,-,-,-,-,68.851.444,,,68851444.0,,,,,68851444.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),1.011,-,70.560.792,27.174.744,7.877.517,5.460.438,24.995.061,136.069.563,1011.0,,70560792.0,27174744.0,7877517.0,5460438.0,24995061.0,136069563.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,1.009.266,5.029.793,-,44.106,6.083.165,,,,1009266.0,5029793.0,,44106.0,6083165.0
Công cụ tài chính và tài sản tài chính phải sinh khác (*),Tài sản > Công cụ tài chính và tài sản tài chính phải sinh khác (*),Công cụ tài chính và tài sản tài chính phải sinh khác (*),-,-,86.378,8.403,97.501,-,-,192.282,,,86378.0,8403.0,97501.0,,,192282.0
Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Tài sản > Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),Cho vay khách hàng và trái phiếu doanh nghiệp chưa niêm yết (*),12.060.860,1.988.425,93.812.753,267.968.616,564.681.055,223.517.695,204.771.158,1.368.800.562,12060860.0,1988425.0,93812753.0,267968616.0,564681055.0,223517695.0,204771158.0,1368800562.0
Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Tài sản > Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),Chứng khoán đầu tư (không bao gồm trái phiếu doanh nghiệp chưa niêm yết) (*),-,-,124.222,1.613.633,15.060.362,66.813.206,79.607.365,163.218.788,,,124222.0,1613633.0,15060362.0,66813206.0,79607365.0,163218788.0
"Góp vốn, đãu tư dài hạn (*)","Tài sản > Góp vốn, đãu tư dài hạn (*)","Góp vốn, đãu tư dài hạn (*)",-,-,-,-,-,-,2.945.299,2.945.299,,,,,,,2945299.0,2945299.0
