row_label_raw,row_label_full,Ông Phan Đức Tú,Chủ tịch,numeric__Chủ tịch
Bà Phan Thị Chinh,Bà Phan Thị Chinh,Bà Phan Thị Chinh,Ủy viên,
Ông Ngô Văn Dũng,Ông Ngô Văn Dũng,Ông Ngô Văn Dũng,Ủy viên,
Ông Trần Thanh Vân,Ông Trần Thanh Vân,Ông Trần Thanh Vân,Ủy viên (nghỉ chế độ từ ngày 01 tháng 5 năm 2021),
Ông Yoo Je Bong,Ông Yoo Je Bong,Ông Yoo Je Bong,Ủy viên,
Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Ủy viên độc lập (bố nhiệm ngày 01 tháng 5 năm 2021),
Ông Lê Việt Cường,Ông Lê Việt Cường,Ông Lê Việt Cường,Ủy viên độc lập (miễn nhiệm từ ngày 01 tháng 5 năm 2021),
Ông Phạm Quang Tùng,Ông Phạm Quang Tùng,Ông Phạm Quang Tùng,Ủy viên,
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Ủy viên,
Ông Trần Xuân Hoàng,Ông Trần Xuân Hoàng,Ông Trần Xuân Hoàng,Ủy viên,
Ông Lê Kim Hòa,Ông Lê Kim Hòa,Ông Lê Kim Hòa,Ủy viên,
Ông Lê Ngọc Lâm,Ông Lê Ngọc Lâm,Ông Lê Ngọc Lâm,Ủy viên (bố nhiệm ngày 12 tháng 3 năm 2021),
