row_label_raw,row_label_full,col_0,Năm 2021,Năm 2021_1,Năm 2021_2,Năm 2021_3,numeric__Năm 2021,numeric__Năm 2021_1,numeric__Năm 2021_2,numeric__Năm 2021_3
,,,Trong nước,Nước ngoài,Điều chỉnh hợp nhất,Tổng cộng,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,10.921.601,40.579,(120.909),10.841.271,10921601.0,40579.0,-120909.0,10841271.0
Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,1.744.943.200,41.383.211,(24.630.619),1.761.695.792,1744943200.0,41383211.0,-24630619.0,1761695792.0
Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,1.657.873.507,34.626.312,(17.133.053),1.675.366.766,1657873507.0,34626312.0,-17133053.0,1675366766.0
,,,Năm 2020,Năm 2020,Năm 2020,Năm 2020,,,,
,,,Trong nước,Nước ngoài,Điều chỉnh hợp nhất,Tổng cộng,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,7.206.647,65.245,(48.327),7.223.565,7206647.0,65245.0,-48327.0,7223565.0
Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,1.493.858.431,43.953.765,(21.126.484),1.516.685.712,1493858431.0,43953765.0,-21126484.0,1516685712.0
Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,1.411.522.547,38.832.368,(13.315.815),1.437.039.100,1411522547.0,38832368.0,-13315815.0,1437039100.0
