row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm (Trình bày lại) (*),Số đầu năm (Trình bày lại) (*)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm (Trình bày lại) (*),numeric__Số đầu năm (Trình bày lại) (*)_1
,,,Triệu VND,%,Triệu VND,%,,,,
Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,60.915.158,"91,20",36.200.608,"85,03",60915158.0,91.2,36200608.0,85.03
Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,5.876.000,"8,80",5.876.000,"13,80",5876000.0,8.8,5876000.0,13.8
Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,-,-,-,-,,,,
Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,-,-,-,-,,,,
Nợ có khả năng mất vốn,Nợ nghi ngờ > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,-,-,499.389,"1,17",,,499389.0,1.17
,,,66.791.158,"100,00",42.575.997,"100,00",66791158.0,100.0,42575997.0,100.0
