row_label_raw,row_label_full,col_0,Ngân hàng,Cho thuê tài chính,Bảo hiểm,Chứng khoán,Khác,Điều chỉnh hợp nhất,Tổng cộng,numeric__Ngân hàng,numeric__Cho thuê tài chính,numeric__Bảo hiểm,numeric__Chứng khoán,numeric__Khác,numeric__Điều chỉnh hợp nhất,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,46.197.843,149.622,246.780,210.927,5.993,12.143,46.823.308,46197843.0,149622.0,246780.0,210927.0,5993.0,12143.0,46823308.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,46.209.986,149.622,246.780,210.927,5.993,-,46.823.308,46209986.0,149622.0,246780.0,210927.0,5993.0,,46823308.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,(12.143),-,-,-,-,12.143,-,-12143.0,,,,,12143.0,
Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,5.614.325,(218),697.718,367.384,13.443,(78.371),6.614.281,5614325.0,-218.0,697718.0,367384.0,13443.0,-78371.0,6614281.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,5.535.954,(218),697.718,367.384,13.443,-,6.614.281,5535954.0,-218.0,697718.0,367384.0,13443.0,,6614281.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,78.371,-,-,-,-,(78.371),-,78371.0,,,,,-78371.0,
Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hồi,1.892.020,(1.872),8.238,(2.232),-,-,1.896.154,1892020.0,-1872.0,8238.0,-2232.0,,,1896154.0
Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,595.631,-,65.127,159.489,-,(26.575),793.672,595631.0,,65127.0,159489.0,,-26575.0,793672.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,6.214.629,2.247,364,(8.103),436,(30.721),6.178.852,6214629.0,2247.0,364.0,-8103.0,436.0,-30721.0,6178852.0
