row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty Cổ phầnLâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phầnLâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phầnLâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty con,Cho vayThu hồi gốc vayChuyển tiền hỗ trợLãi cho vayThu tiền lãi vayThanh lý xe ô tô,-290.000.000163.500.000304.702.670-,3.950.046.7201.000.000.000201.000.000143.059.55910.380.274201.930.000,,,,3.9500467201e+54
Công ty Cổ phầnSản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Công ty Cổ phầnSản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Công ty Cổ phầnSản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,Công ty con,Chuyển tiền vay vốn lưu độngThu hồi gốc vayChuyển tiền hỗ trợLãi cho vay,10.400.000.00016.741.833.515985.000.000263.521.540,15.880.973.7668.761.812.790495.000.000374.618.170,,,1.0400000000167418e+39,1.5880973766876181e+38
Công ty Cổ phầnVinafor Đà Nẵng,Công ty Cổ phầnVinafor Đà Nẵng,Công ty Cổ phầnVinafor Đà Nẵng,Công ty con,Chuyển tiền hỗ trợ,1.101.825.038,679.000.000,,,1101825038.0,679000000.0
Công ty Cổ phầngiống Lâm nghiệp vùng Bắc Trung Bộ,Công ty Cổ phầngiống Lâm nghiệp vùng Bắc Trung Bộ,Công ty Cổ phầngiống Lâm nghiệp vùng Bắc Trung Bộ,Công ty con,Doanh thu bán hàng và cung cấp dịch vụChuyển tiền hỗ trợ,97.720.00055.000.000,-72.000.000,,,9772000055000000.0,-72000000.0
Công ty Cổ phầngiống Lâm nghiệp vùng Tây nguyên,Công ty Cổ phầngiống Lâm nghiệp vùng Tây nguyên,Công ty Cổ phầngiống Lâm nghiệp vùng Tây nguyên,Công ty con,Chuyển tiền hỗ trợThanh lý xe ô tô,28.000.000257.180.000,32.000.000-,,,2.800000025718e+16,
Công ty Cổ phầnGiống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phầnGiống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phầnGiống Lâm nghiệp vùng Đông Bắc,Công ty con,Chuyển tiền hỗ trợLãi cho vay,108.000.00077.600.000,105.000.00077.600.000,,,1.08000000776e+16,1.05000000776e+16
Công ty Cổ phầnVinafor Vinh,Công ty Cổ phầnVinafor Vinh,Công ty Cổ phầnVinafor Vinh,Công ty con,Chuyển tiền hỗ trợ,180.216.836,69.000.000,,,180216836.0,69000000.0
Công ty Cổ phầnVinafor Tây Nguyên,Công ty Cổ phầnVinafor Tây Nguyên,Công ty Cổ phầnVinafor Tây Nguyên,Công ty con,Chuyển tiền hỗ trợ,12.000.000,12.000.000,,,12000000.0,12000000.0
Công ty TNHMMTV Lâm nghiệp Lộc Bình,Công ty TNHMMTV Lâm nghiệp Lộc Bình,Công ty TNHMMTV Lâm nghiệp Lộc Bình,Công ty con,Cho vay vốnLãi cho vayChuyển tiền hỗ trợDoanh thu bán hàng và cung cấp dịch vụ,8.194.163.4614.914.785.618235.000.00013.333.333,14.694.600.0002.643.202.069267.000.000-,,,8.194163461491479e+36,
Công ty TNHMMTV Lâm nghiệp Đình Lập,Công ty TNHMMTV Lâm nghiệp Đình Lập,Công ty TNHMMTV Lâm nghiệp Đình Lập,Công ty con,Cho vay vốnLãi cho vayDoanh thu bán hàng và cung cấp dịch vụThu tiền bán hàng hóa và cung cấp dịch vụChuyển tiền hỗ trợThanh lý xe ô tô,8.723.000.0003.521.392.1653.500.0003.850.000245.000.000181.907.000,16.861.000.0001.760.633.848187.424.000424.523.000245.000.000165.370.000,,,8.723000000352139e+51,1.6861000000176062e+56
