row_label_raw,row_label_full,Họ tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Họ tên,Họ tên,Họ tên,Chức vụ,Năm nay,Năm trước,,,
Phí Mạnh Cường,Họ tên > Phí Mạnh Cường,Phí Mạnh Cường,Chủ tịch HĐQT,2.046.711.233,2.099.382.259,,2046711233.0,2099382259.0
Đỗ Ngọc Khanh,Họ tên > Đỗ Ngọc Khanh,Đỗ Ngọc Khanh,Phó chủ tịch HĐQT,1.640.368.991,1.703.279.814,,1640368991.0,1703279814.0
Lê Quốc Khánh,Họ tên > Lê Quốc Khánh,Lê Quốc Khánh,Tổng Giám đốc,1.911.263.818,1.961.090.110,,1911263818.0,1961090110.0
Nguyễn Tấn Cường,Họ tên > Nguyễn Tấn Cường,Nguyễn Tấn Cường,Thành viên HĐQT (Miễn nhiệm ngày 1 tháng 8 năm 2023),1.047.751.732,1.407.921.518,,1047751732.0,1407921518.0
Nguyễn Trung Kiên,Họ tên > Nguyễn Trung Kiên,Nguyễn Trung Kiên,Phó Tổng Giám đốc,1.369.474.163,1.457.921.518,,1369474163.0,1457921518.0
Ngô Thị Thuỷ Mai,Họ tên > Ngô Thị Thuỷ Mai,Ngô Thị Thuỷ Mai,Phó Tổng Giám đốc,961.404.539,968.405.950,,961404539.0,968405950.0
Vũ Văn Hường,Họ tên > Vũ Văn Hường,Vũ Văn Hường,Phó Tổng Giám đốc,950.901.972,953.911.303,,950901972.0,953911303.0
Nguyễn Khương Lâm,Họ tên > Nguyễn Khương Lâm,Nguyễn Khương Lâm,Phó Tổng Giám đốc,954.964.302,901.961.870,,954964302.0,901961870.0
TỔNG CỘNG,Họ tên > TỔNG CỘNG,TỔNG CỘNG,,10.882.840.750,11.453.874.342,,10882840750.0,11453874342.0
