row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị thuần,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị thuần
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,,
1,Đầu tư vào công ty con > 1,1,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai,134.000.000.000,-,134.000.000.000,134.000.000.000,-,134.000.000.000,,134000000000.0,,134000000000.0,134000000000.0,,134000000000.0
2,Đầu tư vào công ty con > 2,2,Công ty TNHH MTV Lâm nghiệp Lộc Bình,83.500.000.000,(5.992.531.362),77.507.468.638,83.500.000.000,(6.684.727.180),76.815.272.820,,83500000000.0,-5992531362.0,77507468638.0,83500000000.0,-6684727180.0,76815272820.0
3,Đầu tư vào công ty con > 3,3,Công ty TNHH MTV Lâm nghiệp Đình Lập,66.500.000.000,(2.018.590.606),64.481.409.394,66.500.000.000,(2.974.952.038),63.525.047.962,,66500000000.0,-2018590606.0,64481409394.0,66500000000.0,-2974952038.0,63525047962.0
4,Đầu tư vào công ty con > 4,4,Công ty TNHH MTV Lâm nghiệp Đông Bắc,46.100.000.000,(6.387.756.572),39.712.243.428,46.100.000.000,(6.675.158.444),39.424.841.556,,46100000000.0,-6387756572.0,39712243428.0,46100000000.0,-6675158444.0,39424841556.0
5,Đầu tư vào công ty con > 5,5,Công ty TNHH MTV Lâm nghiệp Ba tơ (*),60.000.000.000,-,60.000.000.000,52.149.967.188,-,52.149.967.188,,60000000000.0,,60000000000.0,52149967188.0,,52149967188.0
6,Đầu tư vào công ty con > 6,6,Công ty Cổ phần Cẩm Hà,28.877.625.852,-,28.877.625.852,28.877.625.852,-,28.877.625.852,,28877625852.0,,28877625852.0,28877625852.0,,28877625852.0
7,Đầu tư vào công ty con > 7,7,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài Gòn,15.028.682.215,(1.760.017.762),13.268.664.453,15.028.682.215,-,15.028.682.215,,15028682215.0,-1760017762.0,13268664453.0,15028682215.0,,15028682215.0
8,Đầu tư vào công ty con > 8,8,Công ty Cổ phần Vinafor Đà Nẵng,13.741.488.142,(11.863.944.269),1.877.543.873,13.741.488.142,-,13.741.488.142,,13741488142.0,-11863944269.0,1877543873.0,13741488142.0,,13741488142.0
9,Đầu tư vào công ty con > 9,9,Công ty TNHH MTV Hợp tác lao động và Dịch vụ Vinafor,8.500.000.000,(991.051.982),7.508.948.018,8.500.000.000,(233.261.078),8.266.738.922,,8500000000.0,-991051982.0,7508948018.0,8500000000.0,-233261078.0,8266738922.0
10,Đầu tư vào công ty con > 10,10,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,6.462.259.450,-,6.462.259.450,6.462.259.450,-,6.462.259.450,,6462259450.0,,6462259450.0,6462259450.0,,6462259450.0
11,Đầu tư vào công ty con > 11,11,Công ty Cổ phần Long Bình,6.096.584.122,-,6.096.584.122,6.096.584.122,-,6.096.584.122,,6096584122.0,,6096584122.0,6096584122.0,,6096584122.0
12,Đầu tư vào công ty con > 12,12,Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,5.125.155.489,-,5.125.155.489,5.125.155.489,-,5.125.155.489,,5125155489.0,,5125155489.0,5125155489.0,,5125155489.0
13,Đầu tư vào công ty con > 13,13,Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quát,4.627.945.602,-,4.627.945.602,4.627.945.602,-,4.627.945.602,,4627945602.0,,4627945602.0,4627945602.0,,4627945602.0
14,Đầu tư vào công ty con > 14,14,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,2.832.748.199,-,2.832.748.199,2.832.748.199,-,2.832.748.199,,2832748199.0,,2832748199.0,2832748199.0,,2832748199.0
15,Đầu tư vào công ty con > 15,15,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,2.094.477.881,(2.094.477.881),-,2.094.477.881,(1.893.044.377),201.433.504,,2094477881.0,-2094477881.0,,2094477881.0,-1893044377.0,201433504.0
16,Đầu tư vào công ty con > 16,16,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,1.742.656.825,-,1.742.656.825,1.742.656.825,-,1.742.656.825,,1742656825.0,,1742656825.0,1742656825.0,,1742656825.0
17,Đầu tư vào công ty con > 17,17,Công ty Cổ phần Vinafor Vinh,1.626.640.618,(304.798.594),1.321.842.024,1.626.640.618,(311.404.353),1.315.236.265,,1626640618.0,-304798594.0,1321842024.0,1626640618.0,-311404353.0,1315236265.0
18,Đầu tư vào công ty con > 18,18,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,1.491.724.378,-,1.491.724.378,1.491.724.378,-,1.491.724.378,,1491724378.0,,1491724378.0,1491724378.0,,1491724378.0
19,Đầu tư vào công ty con > 19,19,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,517.537.629,-,517.537.629,517.537.629,-,517.537.629,,517537629.0,,517537629.0,517537629.0,,517537629.0
20,Đầu tư vào công ty con > 20,20,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,239.873.716,-,239.873.716,239.873.716,-,239.873.716,,239873716.0,,239873716.0,239873716.0,,239873716.0
21,21,21,Công ty Cổ phần Vinafor Tây Nguyên,-,-,-,-,-,-,,,,,,,
,,,,489.105.400.118,(31.413.169.028),457.692.231.090,481.255.367.306,(18.772.547.470),462.482.819.836,,489105400118.0,-31413169028.0,457692231090.0,481255367306.0,-18772547470.0,462482819836.0
