row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,Thiết bị văn phòng,TSCĐ hữu hình khác,Đơn vị tính: VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__TSCĐ hữu hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,188.911.207.054,307.454.192.792,34.664.386.454,62.387.298.983,2.007.549.004,595.424.634.287,188911207054.0,307454192792.0,34664386454.0,62387298983.0,2007549004.0,595424634287.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,1.829.585.222,3.782.506.455,780.046.036,-,6.392.137.713,,1829585222.0,3782506455.0,780046036.0,,6392137713.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,503.671.029,-,-,6.484.186.976,-,6.987.858.005,503671029.0,,,6484186976.0,,6987858005.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.649.039.727),-,-,(1.649.039.727),,,-1649039727.0,,,-1649039727.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,189.414.878.083,309.283.778.014,36.797.853.182,69.651.531.995,2.007.549.004,607.155.590.278,189414878083.0,309283778014.0,36797853182.0,69651531995.0,2007549004.0,607155590278.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,74.266.230.857,313.715.072.998,18.863.749.181,58.575.215.929,1.481.071.228,466.901.340.193,74266230857.0,313715072998.0,18863749181.0,58575215929.0,1481071228.0,466901340193.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,127.099.081.464,296.574.503.243,22.983.630.802,60.519.928.939,1.790.651.319,508.967.795.767,127099081464.0,296574503243.0,22983630802.0,60519928939.0,1790651319.0,508967795767.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,5.572.628.239,2.733.982.207,2.985.911.741,1.496.653.528,64.896.576,12.854.072.291,5572628239.0,2733982207.0,2985911741.0,1496653528.0,64896576.0,12854072291.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(1.649.039.727),-,-,(1.649.039.727),,,-1649039727.0,,,-1649039727.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,132.671.709.703,299.308.485.450,24.320.502.816,62.016.582.467,1.855.547.895,520.172.828.331,132671709703.0,299308485450.0,24320502816.0,62016582467.0,1855547895.0,520172828331.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,61.812.125.590,10.879.689.549,11.680.755.652,1.867.370.044,216.897.685,86.456.838.520,61812125590.0,10879689549.0,11680755652.0,1867370044.0,216897685.0,86456838520.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,56.743.168.380,9.975.292.564,12.477.350.366,7.634.949.528,152.001.109,86.982.761.947,56743168380.0,9975292564.0,12477350366.0,7634949528.0,152001109.0,86982761947.0
